,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,2,5,5,5,0,
1,0,3,4,4,4,4,0,
2,2,2,4,5,5,5,0,
3,1,1,1,1,1,1,0,
4,2,2,2,5,5,5,0,
5,0,3,4,4,4,4,0,
6,1,3,4,4,4,4,0,
7,0,0,0,0,0,7,0,
8,1,1,1,1,1,7,0,
9,1,1,4,4,6,6,0,
10,0,3,3,3,3,3,0,
11,1,3,1,1,1,1,0,
12,0,3,4,4,4,4,0,
13,1,1,3,3,3,3,0,
14,2,2,2,2,2,2,0,
15,2,2,2,2,2,2,0,
16,0,0,0,0,6,6,0,
17,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,0,
22,1,1,1,1,1,1,1,
23,0,3,3,3,3,3,0,
24,0,3,3,3,3,3,0,
25,1,1,1,1,1,1,1,
26,2,2,2,2,2,2,0,
27,1,1,1,1,1,1,1,
28,1,1,1,1,1,1,1,
29,1,1,1,1,1,1,1,
30,1,1,4,4,6,1,0,
31,1,1,1,1,1,1,1,
32,1,1,1,1,1,1,1,
33,1,1,1,1,1,1,1,
34,1,1,1,1,1,1,1,
35,1,1,1,1,1,1,1,
36,1,1,1,1,1,1,1,
37,1,1,1,1,1,1,1,
38,1,1,1,1,1,1,1,
39,1,1,1,1,1,1,1,
40,1,1,1,1,1,1,1,
41,1,1,1,3,5,1,1,
42,1,1,1,1,1,1,1,
43,99,99,99,99,99,99,99,
44,1,1,1,1,1,1,1,
45,1,1,1,1,1,1,1,
46,1,1,1,1,1,1,1,
47,99,99,99,99,99,99,99,
48,1,1,1,1,1,1,1,
49,1,1,1,1,1,1,1,
50,1,1,1,1,1,1,1,
51,1,1,1,1,1,1,1,
52,1,1,1,1,1,1,1,
53,1,1,1,1,1,1,1,
54,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,1,
Modularity,0.07607141534348018,0.08942151807065814,0.08516007495043082,0.08455138352814448,0.08547881755841104,0.09102802294743204,0.11279489743730153,
NMI,0.46534954276969881,0.50802768194187442,0.55289250089841502,0.47582359731192342,0.46938939643072281,0.51535800863242387,1.0,
Silhoutte,0.31821904,0.31255232,0.33418567,0.39294735,0.39242857,0.38016388,0.31750668,
