,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,1,3,3,3,3,3,3,3,6,
1,0,3,3,3,3,3,3,3,6,
2,1,3,3,3,3,3,3,3,6,
3,2,3,4,4,4,7,7,7,0,
4,1,3,3,3,3,3,3,3,6,
5,2,2,2,2,2,2,2,2,0,
6,2,2,2,2,2,2,2,2,0,
7,2,2,2,2,2,2,2,2,0,
8,1,1,4,4,4,4,4,4,3,
9,0,3,4,4,4,7,7,7,0,
10,2,2,2,2,2,2,7,9,0,
11,2,2,2,2,2,2,2,2,0,
12,2,2,2,2,2,2,2,2,0,
13,2,2,2,2,2,2,2,2,0,
14,2,2,2,2,2,7,7,7,0,
15,2,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,2,0,
21,0,3,4,4,4,4,4,4,3,
22,99,99,99,99,99,99,99,99,99,
23,1,3,1,1,4,7,1,1,4,
24,99,99,99,99,99,99,99,99,99,
25,1,1,1,1,1,1,1,1,4,
26,2,2,2,2,2,2,2,2,0,
27,1,1,1,1,1,1,1,1,4,
28,1,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,1,4,
30,0,2,4,5,5,5,5,5,6,
31,0,0,4,5,5,5,5,5,6,
32,0,0,4,5,5,5,5,9,6,
33,2,2,1,5,5,5,5,5,6,
34,2,2,4,5,5,5,5,5,6,
35,0,3,3,3,3,3,3,3,6,
36,1,1,4,4,4,4,4,4,3,
37,2,2,2,4,6,7,8,8,4,
38,1,1,1,1,1,1,8,8,4,
39,1,1,1,1,1,1,1,1,4,
40,1,1,1,1,1,1,1,1,4,
41,0,0,0,1,1,1,6,6,4,
42,99,99,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,1,1,4,
44,1,1,1,1,1,1,1,1,4,
45,1,1,1,1,1,1,1,1,4,
46,1,1,1,1,1,1,1,1,4,
47,2,2,4,4,4,4,8,8,3,
48,1,1,1,1,1,1,1,1,4,
49,1,1,1,5,5,5,5,9,6,
50,0,0,0,0,6,6,6,6,4,
51,1,1,1,1,6,1,1,1,4,
52,1,1,1,1,6,6,6,6,4,
53,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.08382865693827349,0.10608558771415057,0.11409469922630895,0.1338430294009955,0.12074322263467971,0.12319845919745179,0.12021901167587519,0.11489210285266939,0.14626503337841892,
NMI,0.39871991229813586,0.39703692103053223,0.64603416760029941,0.80817167830937398,0.78073571846168111,0.80602501970253393,0.79535501705518885,0.75490851028401862,1.0,
Silhoutte,0.15705699,0.18315269,0.2187957,0.23515524,0.19414745,0.21274897,0.2528641,0.25094853,0.20284534,
