,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,3,3,4,4,4,4,1,0
1,2,3,3,5,4,4,4,1,0
2,99,99,99,99,99,99,99,99,99
3,2,2,4,4,4,4,4,3,1
4,0,3,3,4,4,4,4,1,0
5,1,1,1,1,1,1,1,3,2
6,0,0,3,0,0,0,8,1,2
7,1,1,1,1,1,1,1,3,3
8,1,1,1,1,1,1,1,3,3
9,99,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,1,3,3
11,1,1,1,1,1,1,1,3,4
12,1,1,1,1,1,1,1,3,3
13,1,1,1,1,1,1,1,3,3
14,1,1,1,1,1,1,1,3,3
15,1,1,1,1,1,1,1,3,4
16,1,1,1,1,1,1,1,3,3
17,1,1,1,1,1,1,1,3,3
18,1,1,1,1,1,1,1,3,3
19,1,1,1,1,1,1,1,3,4
20,1,1,1,1,1,1,1,3,3
21,1,1,1,1,1,1,1,3,3
22,1,1,1,1,1,1,1,3,3
23,0,0,4,4,4,4,4,3,1
24,0,0,4,4,4,7,7,5,5
25,2,2,2,4,4,7,7,5,5
26,2,2,2,2,2,2,2,5,6
27,2,2,2,2,2,2,2,5,6
28,1,1,1,1,1,1,1,3,4
29,2,2,2,2,2,2,2,5,6
30,2,2,2,2,2,7,7,5,5
31,2,1,1,1,1,1,1,3,4
32,1,1,1,1,1,1,1,3,4
33,2,2,2,2,2,2,2,5,6
34,2,2,2,2,2,2,2,5,6
35,0,3,3,3,4,7,8,1,2
36,1,1,1,1,3,3,3,3,4
37,0,3,4,3,6,6,6,5,7
38,0,3,4,3,3,3,3,4,7
39,0,3,3,3,3,3,3,4,7
40,1,1,1,5,5,5,5,5,8
41,1,1,1,5,5,5,5,5,8
42,1,1,1,5,5,5,5,5,8
43,2,2,2,2,2,2,2,5,5
44,2,2,2,2,2,2,2,5,6
45,2,2,2,2,2,2,2,5,6
46,2,2,2,2,2,2,2,5,6
47,0,3,4,3,6,6,6,5,7
48,2,2,2,2,2,2,2,5,6
49,2,2,2,2,2,2,2,5,6
50,2,2,2,2,2,2,2,5,5
51,2,2,2,2,2,2,2,5,5
52,2,2,2,2,2,7,8,5,2
53,2,2,2,2,2,2,2,5,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.10641277323066536,0.12123116454389608,0.12772085000831798,0.1366987806269639,0.14148790733588648,0.13590993467465232,0.13592633762379447,0.1550587168479905,0.10118508091394794
NMI,0.40776801255517259,0.53817910667646973,0.64075171205905745,0.63764027203024021,0.68076488891886977,0.68428472212546831,0.68708027345950518,1.0,0.63674959147409327
