,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,2,5,3,3,3,3,5,0
1,0,3,3,3,6,6,6,6,5,1
2,0,3,3,5,3,3,3,3,5,0
3,2,3,3,3,6,6,6,6,5,1
4,2,2,2,5,3,3,3,3,5,0
5,2,3,3,3,6,7,7,7,2,1
6,2,3,3,3,6,6,6,6,5,2
7,0,3,3,3,6,6,6,6,5,2
8,0,3,3,3,6,6,6,6,5,2
9,0,0,4,5,5,5,5,5,2,3
10,2,3,3,3,3,7,7,7,2,1
11,99,99,99,99,99,99,99,99,99,99
12,2,3,3,3,2,7,7,7,2,1
13,2,2,2,5,5,5,5,9,2,1
14,2,2,2,2,2,2,2,2,2,4
15,2,2,2,2,2,2,2,2,2,4
16,2,2,2,2,2,7,2,7,2,1
17,2,2,2,2,2,2,2,2,2,4
18,2,2,2,2,2,2,2,2,2,4
19,2,2,2,2,2,2,2,2,2,4
20,2,2,2,2,2,2,2,2,2,4
21,2,2,2,2,2,2,2,2,2,4
22,99,99,99,99,99,99,99,99,99,99
23,0,0,0,5,5,5,5,5,2,3
24,2,2,2,5,5,5,5,5,2,3
25,0,0,0,5,0,3,8,9,2,3
26,2,2,2,2,2,2,2,2,2,1
27,1,1,1,1,1,1,1,1,3,5
28,1,1,1,1,1,1,1,1,3,5
29,1,1,1,1,1,1,1,1,3,5
30,1,1,4,4,4,4,4,4,3,6
31,0,0,4,4,4,4,4,4,3,6
32,1,1,4,4,4,4,4,8,3,6
33,1,1,4,4,4,4,4,4,3,6
34,99,99,99,99,99,99,99,99,99,99
35,2,2,2,5,3,3,3,3,5,0
36,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1,3,5
39,1,1,1,1,1,1,1,1,3,5
40,1,1,1,1,1,1,1,8,3,7
41,1,1,1,1,1,1,8,8,3,7
42,1,1,1,1,1,1,8,8,3,7
43,0,0,0,5,5,5,8,9,2,3
44,99,99,99,99,99,99,99,99,99,99
45,99,99,99,99,99,99,99,99,99,99
46,1,1,1,1,1,7,7,7,3,1
47,99,99,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,1,3,5
49,1,1,1,1,1,1,1,1,3,6
50,1,1,1,1,1,1,1,1,3,5
51,1,1,1,1,1,1,1,1,3,5
52,1,1,1,1,1,1,1,1,3,5
53,1,3,1,1,1,1,1,1,3,3
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.15503785925017038,0.15075871605213773,0.16205618002705585,0.18113603160242364,0.17765770619308544,0.17363535050624804,0.15522481020613346,0.15282940698967515,0.19542503575404946,0.12859283397290816
NMI,0.59407844066574711,0.55004308971016147,0.57547803958853605,0.62237850040817821,0.69355962375389413,0.67712369265811823,0.65428230461766912,0.6730059344471585,1.0,0.57004578891439472
