,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,4,4,4,4,6,
1,1,1,1,1,1,5,1,
2,1,1,1,4,4,4,1,
3,1,1,1,5,5,1,1,
4,2,2,4,4,4,4,6,
5,1,1,1,1,1,1,1,
6,1,1,1,1,1,5,1,
7,1,1,1,1,1,5,1,
8,1,1,1,1,1,2,1,
9,0,0,4,5,5,7,1,
10,1,1,1,1,1,1,1,
11,99,99,99,99,99,99,99,
12,1,1,1,1,1,1,1,
13,1,1,1,1,1,1,1,
14,1,1,1,1,1,1,1,
15,1,1,1,1,1,1,1,
16,1,1,1,1,1,1,1,
17,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,
22,99,99,99,99,99,99,99,
23,0,3,4,5,5,7,1,
24,0,3,4,5,5,7,3,
25,0,3,4,4,6,6,3,
26,1,1,1,1,1,1,1,
27,2,2,2,2,2,2,9,
28,2,2,2,2,2,2,9,
29,2,2,2,2,2,2,9,
30,1,3,3,3,3,3,4,
31,0,3,3,3,3,3,4,
32,0,3,3,3,3,3,4,
33,0,3,3,3,3,3,4,
34,99,99,99,99,99,99,99,
35,0,0,4,4,4,4,6,
36,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,
38,2,2,2,2,2,2,9,
39,2,2,2,2,2,2,9,
40,2,2,2,2,2,2,9,
41,2,2,2,2,2,2,9,
42,2,2,2,2,5,5,9,
43,0,3,4,4,6,6,3,
44,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,
46,2,2,2,2,2,2,9,
47,99,99,99,99,99,99,99,
48,2,2,2,2,2,2,9,
49,2,2,2,2,2,2,9,
50,2,2,2,2,2,2,9,
51,2,2,2,2,2,2,9,
52,2,2,2,2,2,2,9,
53,2,2,2,2,2,2,9,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.11893190459622383,0.12207255988749105,0.13710896219393745,0.1349130388346588,0.1256194320019981,0.1130921498506883,0.141169770092104,
NMI,0.70022679898709017,0.77835589635921654,0.86946363299986396,0.81923013574617243,0.81004274143364607,0.72834914533117001,1.0,
Silhoutte,0.33531105,0.32185865,0.37667883,0.36524877,0.3797208,0.37708708,0.38798561,
