,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,2,5,5,5,0,
1,1,3,4,4,6,6,0,
2,2,2,4,4,4,4,0,
3,1,1,1,1,1,1,0,
4,2,2,2,5,5,5,0,
5,0,0,4,5,6,6,0,
6,1,3,3,3,6,6,0,
7,0,3,3,3,3,7,0,
8,1,3,3,3,1,7,0,
9,1,1,4,4,6,3,0,
10,0,3,3,3,3,3,0,
11,1,3,3,3,3,6,0,
12,0,3,3,3,6,6,0,
13,1,3,4,4,3,3,0,
14,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,1,
16,2,2,2,2,4,4,1,
17,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,1,
22,1,1,1,1,1,1,1,
23,0,3,4,4,3,4,0,
24,0,3,3,3,3,3,0,
25,1,1,1,1,1,1,3,
26,2,2,2,2,2,2,1,
27,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,3,
30,0,0,4,4,4,4,0,
31,1,1,1,1,1,1,3,
32,0,0,4,4,4,4,0,
33,1,1,1,1,1,1,3,
34,1,1,1,1,1,1,3,
35,1,1,1,1,1,1,3,
36,1,1,1,1,1,1,3,
37,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,3,
41,1,1,1,1,1,1,3,
42,1,1,1,1,1,1,3,
43,99,99,99,99,99,99,99,
44,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,3,
47,99,99,99,99,99,99,99,
48,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,
53,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,3,
Modularity,0.07301473991984024,0.10259232893964854,0.10578142256068794,0.10775731371540966,0.09707475311686727,0.10124865053244345,0.12637963210896436,
NMI,0.47837655542905322,0.5958916629537705,0.65226501443082929,0.70543768150942088,0.60788070230170144,0.62616425854168378,1.0,
Silhoutte,0.28892946,0.32244743,0.36670195,0.40576589,0.39937347,0.37178726,0.31216975,
