,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,1,3,4,4,3,7,7,3,
1,1,3,4,4,2,7,7,3,
2,99,99,99,99,99,99,99,99,
3,0,3,3,3,3,3,3,2,
4,0,3,4,4,3,7,7,3,
5,2,2,2,1,2,2,2,3,
6,0,3,4,4,2,7,8,3,
7,2,2,2,4,2,2,2,3,
8,2,2,2,1,2,2,2,3,
9,99,99,99,99,99,99,99,99,
10,2,2,2,2,5,5,5,3,
11,2,2,2,1,1,1,1,3,
12,2,2,2,4,2,2,2,3,
13,2,3,3,3,3,3,3,2,
14,2,2,2,3,5,2,2,3,
15,2,2,2,2,5,5,5,3,
16,2,2,2,2,5,2,2,3,
17,2,2,2,3,2,2,2,3,
18,2,2,2,2,2,2,2,3,
19,2,2,2,2,5,5,5,3,
20,2,2,2,2,5,5,5,3,
21,2,2,4,4,2,2,2,3,
22,2,2,2,2,5,5,5,3,
23,0,3,3,3,3,3,3,2,
24,2,3,3,3,3,3,3,2,
25,1,1,1,3,3,1,1,2,
26,1,1,1,5,4,4,4,5,
27,1,1,1,5,4,4,4,5,
28,1,1,1,1,1,1,1,5,
29,1,1,1,1,1,1,1,5,
30,1,1,1,5,4,1,4,5,
31,2,2,2,2,1,1,1,3,
32,1,1,1,1,1,1,1,5,
33,1,1,1,5,4,4,4,5,
34,1,1,1,1,1,1,1,5,
35,2,2,2,5,4,4,4,5,
36,1,1,1,1,1,1,1,5,
37,1,1,1,1,4,4,4,5,
38,0,0,0,0,2,6,0,5,
39,1,1,1,1,1,1,1,5,
40,2,2,4,4,6,6,6,4,
41,2,2,4,4,6,6,6,4,
42,2,2,4,4,6,6,6,4,
43,1,1,1,5,4,4,4,5,
44,1,1,1,5,4,4,4,5,
45,1,1,1,1,1,1,1,5,
46,1,1,1,1,1,1,1,5,
47,1,1,1,1,1,1,1,5,
48,1,1,1,1,1,1,1,5,
49,1,1,1,1,1,1,1,5,
50,1,1,1,5,4,4,4,5,
51,1,1,1,5,4,4,4,5,
52,2,2,2,5,4,4,4,5,
53,1,1,1,5,4,4,4,5,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.08634437821128185,0.10601450333731788,0.11190427642652706,0.10591819500851062,0.10450025116750034,0.10729323935637919,0.10611181836102965,0.13679474563293392,
NMI,0.37565506592386688,0.5822868291413037,0.68021505323057063,0.5712629201461753,0.62641427082483203,0.62695590523464073,0.64455945728955655,1.0,
Silhoutte,0.18135718,0.23790607,0.27368615,0.20142328,0.26873736,0.30145542,0.31828617,0.27068676,
