,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,1,1,4,4,4,4,4,4,0,
1,0,0,0,0,6,7,6,6,2,
2,0,0,4,4,4,4,4,4,0,
3,2,2,2,2,2,2,8,8,2,
4,0,3,4,4,4,4,4,4,0,
5,2,2,2,2,2,2,2,2,2,
6,2,2,2,2,6,7,7,6,2,
7,2,2,2,5,5,5,5,5,2,
8,0,0,0,5,5,5,5,5,3,
9,1,3,3,3,3,3,3,3,1,
10,1,3,3,3,3,3,3,3,1,
11,1,2,1,1,1,1,1,1,2,
12,2,2,2,2,2,2,2,2,2,
13,2,2,2,2,2,2,7,7,2,
14,2,3,3,3,3,3,3,3,1,
15,2,2,2,2,2,2,2,2,2,
16,2,2,2,2,2,2,2,2,2,
17,2,2,2,2,2,2,2,2,2,
18,2,2,2,2,2,2,2,2,2,
19,2,2,2,2,2,2,2,2,2,
20,2,2,2,2,2,2,2,2,2,
21,2,2,2,2,2,2,2,2,2,
22,2,2,2,2,2,2,2,2,2,
23,2,3,3,3,3,7,7,7,1,
24,1,1,1,1,1,1,1,1,3,
25,1,1,1,1,1,1,1,7,1,
26,2,2,2,2,2,2,2,2,2,
27,1,1,1,1,1,1,1,1,3,
28,2,2,1,1,1,2,2,1,2,
29,1,1,1,1,1,1,1,1,3,
30,0,3,3,3,3,3,3,3,1,
31,0,3,3,3,3,3,3,3,1,
32,0,3,3,3,3,3,3,3,1,
33,1,3,3,3,3,3,3,3,1,
34,1,1,1,1,1,1,1,1,3,
35,0,0,4,4,4,4,4,4,0,
36,0,0,0,5,5,5,5,5,3,
37,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,3,
40,1,1,4,1,6,6,6,9,3,
41,0,0,4,5,6,6,6,9,3,
42,2,2,4,5,6,6,6,9,3,
43,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,1,3,
45,2,2,2,5,5,7,8,8,2,
46,1,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.0972525084971087,0.12077352539750102,0.13914496507759655,0.1358349577128529,0.13446409060713402,0.1348619058544467,0.1291254188605001,0.12831644942057138,0.14757562361404872,
NMI,0.39260818577748313,0.66787517472128677,0.68525350118956019,0.70510327426098096,0.65672829531426768,0.6978221432142212,0.65299730140454626,0.683391599967757,1.0,
Silhoutte,0.12699293,0.16624992,0.22870708,0.261734,0.27726878,0.30050134,0.25544679,0.26610106,0.20414181,
