,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,3,4,3,3,3,3,3,3,1,0
1,2,2,2,0,6,6,6,6,6,0,1
2,0,3,4,4,3,3,3,3,3,1,0
3,1,1,3,5,5,5,8,8,8,0,2
4,0,3,4,3,3,3,3,3,3,1,0
5,1,2,4,1,3,1,8,9,9,0,2
6,0,0,0,1,6,6,6,6,6,0,1
7,0,0,0,1,6,6,6,2,10,2,3
8,0,0,1,2,6,6,6,2,10,2,3
9,1,1,1,0,0,0,8,8,8,0,2
10,1,1,4,1,1,5,8,8,8,0,2
11,0,1,1,2,2,2,2,9,9,2,3
12,1,1,4,1,1,1,1,1,1,0,2
13,1,1,3,1,5,5,8,8,8,0,2
14,1,1,1,1,1,1,8,8,8,0,2
15,1,1,1,3,1,1,1,1,1,0,2
16,1,1,4,1,1,1,1,1,1,0,2
17,1,1,1,1,1,1,1,1,1,0,2
18,1,1,1,3,1,1,1,1,1,0,2
19,1,1,1,3,1,1,1,1,1,0,2
20,1,1,1,3,1,1,1,1,1,0,2
21,1,1,4,1,6,6,6,6,6,0,1
22,1,1,1,3,1,1,1,1,1,0,2
23,1,3,3,5,5,5,5,5,5,3,4
24,1,3,3,5,5,5,5,5,5,3,4
25,1,3,3,5,5,5,8,8,8,3,4
26,1,3,3,5,5,5,5,5,5,3,4
27,2,2,2,2,2,4,2,4,2,1,5
28,2,2,2,4,4,4,4,4,4,1,5
29,2,2,2,4,4,4,4,4,4,1,5
30,0,2,2,4,4,4,4,4,4,1,6
31,0,2,2,4,4,4,4,4,4,1,6
32,0,2,2,4,4,4,4,4,4,1,6
33,2,2,2,4,4,4,4,4,4,1,6
34,2,2,2,2,2,4,4,4,2,1,5
35,0,2,4,3,3,3,3,3,3,1,0
36,2,1,1,2,2,7,2,2,10,2,3
37,0,0,0,0,0,0,0,6,7,2,3
38,2,1,1,2,2,7,2,9,2,2,5
39,1,1,1,2,2,7,2,8,2,2,3
40,1,1,4,2,2,7,7,7,7,2,7
41,1,1,4,2,2,7,7,7,7,2,7
42,1,1,4,2,2,7,7,7,7,2,7
43,1,3,3,5,5,5,5,5,5,3,4
44,2,1,1,2,2,7,2,8,2,2,3
45,1,3,3,5,5,5,5,5,5,3,4
46,2,3,3,5,5,5,8,9,9,2,3
47,1,1,1,2,2,2,2,8,2,2,3
48,2,2,2,2,2,2,2,9,2,2,5
49,2,2,2,4,2,4,4,4,2,1,5
50,2,3,3,5,5,5,5,5,5,3,4
51,2,3,3,5,5,5,5,5,5,2,3
52,0,0,3,0,0,2,8,9,9,2,3
53,2,2,3,2,2,7,2,2,2,2,5
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.08735793133949397,0.08204015363843292,0.11027957432030806,0.14178587996950975,0.15961263490080035,0.1518791567868363,0.14289653074898198,0.1262209601420608,0.14003315294861365,0.1810349616591695,0.15046363863685022
NMI,0.29540022121789949,0.44898364607715685,0.35790332721569773,0.57253497383703766,0.55741109890214746,0.63986515931417109,0.6128772959554456,0.61357881381602197,0.62781785524642242,1.0,0.77104357139495605
