,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,1,1,1,6,6,7,3,
1,0,1,4,5,5,4,4,2,
2,99,99,99,99,99,99,99,99,
3,1,2,2,2,2,6,8,2,
4,1,3,3,3,3,3,3,3,
5,1,3,4,5,5,4,4,2,
6,0,0,4,5,6,4,4,2,
7,2,2,2,2,1,2,2,2,
8,2,2,2,2,1,2,2,2,
9,99,99,99,99,99,99,99,99,
10,2,2,2,2,1,2,2,2,
11,2,1,1,1,1,1,1,4,
12,2,1,1,1,1,2,2,2,
13,2,2,2,2,2,2,8,2,
14,2,2,2,2,2,2,2,2,
15,2,2,2,2,1,2,2,2,
16,2,1,1,1,1,2,2,2,
17,2,2,2,1,1,2,2,2,
18,2,2,1,1,1,2,2,2,
19,2,2,2,1,1,2,2,2,
20,2,2,2,2,1,2,2,2,
21,2,0,4,5,5,4,4,2,
22,2,2,2,2,1,2,6,2,
23,1,2,2,2,2,2,8,2,
24,2,2,2,2,2,2,6,2,
25,2,1,1,1,1,1,1,5,
26,1,3,3,3,3,3,3,3,
27,1,3,3,3,3,3,3,3,
28,1,1,1,1,1,3,3,2,
29,1,3,3,3,3,3,3,4,
30,1,3,3,1,3,3,3,2,
31,2,1,1,1,1,1,1,4,
32,2,1,1,1,1,1,1,4,
33,1,3,3,3,3,3,3,3,
34,1,3,3,3,3,3,3,4,
35,2,3,3,3,6,6,3,3,
36,1,1,1,5,5,5,5,4,
37,1,3,3,3,3,3,3,3,
38,0,0,0,5,5,5,5,4,
39,1,1,1,5,5,5,5,4,
40,2,2,4,4,4,7,7,5,
41,2,2,4,4,4,7,7,5,
42,2,2,4,4,4,7,7,5,
43,1,3,3,3,3,3,3,3,
44,1,3,3,3,3,3,3,3,
45,2,1,1,1,1,1,1,4,
46,1,3,3,3,3,3,3,4,
47,1,3,3,3,3,3,3,4,
48,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,4,
50,1,3,3,3,3,3,6,3,
51,1,3,3,3,3,3,3,3,
52,1,3,3,3,3,3,0,3,
53,1,3,3,3,3,3,3,3,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.04690796495942123,0.06521524265503964,0.07495481544431325,0.07431309041858211,0.07141013290596251,0.08246989224277851,0.0717532367579679,0.09043143334389694,
NMI,0.20315667781665175,0.38928632899818183,0.47524263453772048,0.49609671872825478,0.43454562098409755,0.60304530607558671,0.54190462271874129,1.0,
Silhoutte,0.13442465,0.10092209,0.17022049,0.20274677,0.26474049,0.26193668,0.26547336,0.16425025,
