,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,2,4,4,4,4,4,5,
1,1,1,1,1,6,1,8,2,
2,1,1,4,4,4,4,4,5,
3,1,1,1,5,6,1,8,2,
4,2,2,4,4,4,4,4,5,
5,1,1,1,1,1,1,1,2,
6,1,1,1,1,6,6,8,2,
7,1,1,1,5,6,6,8,2,
8,1,1,2,2,6,6,8,2,
9,0,0,4,5,5,5,5,2,
10,1,1,1,1,1,1,1,2,
11,99,99,99,99,99,99,99,99,
12,1,1,1,1,1,1,1,2,
13,1,1,4,1,5,1,1,2,
14,1,1,1,1,1,1,1,2,
15,1,1,1,1,1,1,1,2,
16,1,1,1,1,5,5,7,2,
17,1,1,1,1,1,1,1,2,
18,1,1,1,1,1,1,1,2,
19,1,1,1,1,1,1,1,2,
20,1,1,1,1,1,1,1,2,
21,1,1,1,1,1,1,1,2,
22,99,99,99,99,99,99,99,99,
23,0,3,4,5,5,5,5,2,
24,0,3,4,5,5,5,5,2,
25,0,0,4,4,6,6,6,2,
26,1,1,1,1,1,1,1,2,
27,2,2,2,2,2,2,2,3,
28,2,2,2,2,2,2,2,3,
29,2,2,2,2,2,2,2,3,
30,0,3,3,3,3,3,3,3,
31,0,3,3,3,3,3,3,3,
32,2,3,3,3,3,7,7,3,
33,0,3,3,3,3,3,3,3,
34,99,99,99,99,99,99,99,99,
35,0,0,4,4,4,4,4,5,
36,99,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,99,
38,2,2,2,2,2,2,2,3,
39,2,2,2,2,2,2,2,3,
40,2,2,2,2,2,7,7,3,
41,2,2,2,2,2,7,7,3,
42,2,2,2,2,2,7,7,3,
43,0,0,4,4,6,6,6,2,
44,99,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,99,
46,2,2,2,2,2,2,2,3,
47,99,99,99,99,99,99,99,99,
48,2,2,2,2,2,2,2,3,
49,2,2,2,2,2,2,2,3,
50,2,2,2,2,2,2,2,3,
51,2,2,2,2,2,2,2,3,
52,2,2,2,2,2,2,2,3,
53,2,2,2,2,2,2,2,3,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.13252641323454112,0.12997889413803992,0.1424480890434234,0.13910940434150482,0.13269959245226312,0.11240139947833591,0.11526940978253492,0.15479078641358499,
NMI,0.52667227616248502,0.5418078470166241,0.6407285560805952,0.65592323294319199,0.74613610359399751,0.72279136877573391,0.65840785083562814,1.0,
Silhoutte,0.29950624,0.2985282,0.32758666,0.32480834,0.34793602,0.37287916,0.36943593,0.33295371,
