,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,2,3,4,4,4,4,4,4,0,
1,0,0,0,0,0,0,3,9,0,
2,2,3,4,4,4,4,4,4,0,
3,0,3,3,3,3,3,3,3,1,
4,0,3,4,4,4,4,4,4,0,
5,1,1,1,1,1,1,1,1,0,
6,1,1,1,1,1,1,1,1,0,
7,1,1,1,1,1,1,1,1,0,
8,1,1,1,1,1,1,1,1,0,
9,0,3,3,3,3,3,3,3,1,
10,1,1,1,1,1,1,1,1,0,
11,2,2,2,2,2,2,2,2,2,
12,1,1,1,1,1,1,1,1,0,
13,1,1,1,1,1,1,1,1,0,
14,1,1,1,1,1,1,1,1,0,
15,1,1,1,1,1,1,1,1,0,
16,1,1,1,1,1,1,1,1,0,
17,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,1,0,
20,1,1,1,1,1,1,1,1,0,
21,1,1,1,1,1,1,1,1,0,
22,1,1,1,1,1,1,1,1,0,
23,2,3,3,3,3,3,3,3,1,
24,2,2,2,2,2,2,2,2,2,
25,2,3,3,3,3,2,7,2,2,
26,1,1,1,1,1,1,1,1,0,
27,1,1,1,1,1,1,1,1,0,
28,2,2,2,2,2,2,8,8,2,
29,2,2,2,2,2,2,2,2,2,
30,0,3,3,3,3,3,8,8,1,
31,0,0,0,0,6,6,6,6,1,
32,0,0,0,0,6,6,6,6,1,
33,2,2,2,2,2,2,2,2,2,
34,2,2,2,2,2,2,2,2,2,
35,0,3,4,4,4,4,4,4,2,
36,2,2,2,5,5,7,7,7,2,
37,2,2,2,2,2,2,2,2,2,
38,2,2,2,2,2,2,2,2,2,
39,2,2,2,2,2,2,2,2,2,
40,1,3,1,5,5,5,5,5,2,
41,1,0,0,5,5,5,5,5,2,
42,2,2,2,5,5,5,5,5,2,
43,0,0,4,5,5,5,5,5,1,
44,2,2,2,2,2,2,2,2,2,
45,2,2,2,2,2,2,2,2,2,
46,2,2,2,2,2,2,2,2,2,
47,2,2,4,5,6,7,7,7,2,
48,2,2,2,2,2,2,2,2,2,
49,2,2,2,2,2,2,2,2,2,
50,2,2,2,2,2,2,2,2,2,
51,2,2,2,2,2,2,2,2,2,
52,2,2,2,2,2,2,2,2,2,
53,2,2,2,2,2,2,2,2,2,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.1988916105044655,0.23575061858098795,0.22317747483344116,0.22871002842917978,0.2265527484870014,0.23172186016878632,0.22419358884692414,0.22812994212621718,0.24366272624149343,
NMI,0.51755416127511078,0.62394329831059059,0.57902526974710666,0.65782414119576949,0.65041965333170071,0.71253406118722074,0.64328065821369718,0.67423020246077836,1.0,
Silhoutte,0.24523757,0.31839596,0.32767269,0.36345792,0.36441389,0.39264365,0.35119235,0.37360924,0.26912426,
