,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,3,3,3,3,3,3,0,
1,0,1,3,5,6,6,6,0,
2,0,3,3,3,3,3,3,0,
3,2,2,2,2,2,2,2,0,
4,0,3,3,3,3,3,3,0,
5,2,2,2,2,2,2,2,0,
6,0,1,3,5,6,6,6,0,
7,0,1,3,5,6,6,6,0,
8,2,2,1,1,1,1,1,1,
9,1,3,3,3,5,5,8,0,
10,2,2,2,5,5,5,8,0,
11,1,3,3,3,5,5,8,0,
12,2,2,2,5,2,2,8,0,
13,2,3,2,3,5,5,8,0,
14,2,2,2,2,5,5,8,0,
15,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,2,0,
22,2,2,2,2,2,2,2,0,
23,1,1,4,4,4,4,4,2,
24,0,3,4,4,4,4,4,2,
25,1,1,1,1,1,1,1,1,
26,2,3,4,4,4,4,4,2,
27,1,1,1,1,1,1,1,1,
28,1,1,1,1,1,1,1,1,
29,1,1,1,1,1,1,1,1,
30,2,1,1,1,1,1,7,0,
31,0,3,4,4,4,7,7,0,
32,2,1,4,4,4,7,7,0,
33,2,2,2,2,2,2,2,0,
34,1,1,1,1,1,1,1,1,
35,1,1,1,1,1,1,1,1,
36,1,1,1,1,1,1,1,1,
37,1,1,1,1,1,1,1,1,
38,2,2,4,4,4,4,4,2,
39,1,1,1,1,1,1,1,1,
40,2,2,2,5,6,7,5,2,
41,2,2,4,5,6,7,5,2,
42,2,2,2,5,6,7,5,2,
43,1,3,4,4,4,4,4,2,
44,1,1,1,1,1,1,1,1,
45,1,1,1,1,1,1,1,1,
46,1,1,1,1,1,1,1,1,
47,1,1,1,1,1,1,1,1,
48,1,1,1,1,1,1,1,1,
49,1,1,1,1,1,1,1,1,
50,2,3,4,4,4,4,4,2,
51,1,1,1,1,1,1,1,1,
52,1,1,1,1,1,1,1,1,
53,1,1,1,1,1,1,1,1,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.08579583212391073,0.09241478505881191,0.12118540391498578,0.12350345671761159,0.1271551990027509,0.12947406395782496,0.1308232698425802,0.14789716335211409,
NMI,0.3909713235601876,0.32411303903852778,0.6419102602392982,0.61514946193309528,0.61252948363650384,0.66902033170068564,0.74745878643602848,1.0,
Silhoutte,0.10853015,0.10396677,0.17294853,0.20514501,0.24679001,0.28912439,0.31090617,0.1547223,
