,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,3,3,3,3,3,3,3,0,
1,1,3,3,3,3,3,3,9,0,
2,0,3,3,3,3,3,3,3,0,
3,1,1,3,4,4,4,4,4,1,
4,0,3,3,3,3,3,3,3,0,
5,2,3,3,3,3,3,3,3,0,
6,0,0,4,4,6,7,7,9,0,
7,2,2,4,5,6,6,6,6,3,
8,1,1,1,1,6,6,6,6,3,
9,0,3,4,4,4,4,4,4,1,
10,2,2,4,4,6,6,6,6,0,
11,2,2,4,5,6,6,6,6,0,
12,2,2,4,4,6,6,6,6,0,
13,0,3,4,4,4,4,4,4,1,
14,1,3,3,4,4,4,4,4,1,
15,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,1,
22,99,99,99,99,99,99,99,99,99,
23,0,3,3,0,5,5,5,5,3,
24,2,3,4,5,5,5,5,5,3,
25,1,1,1,5,5,5,5,5,3,
26,0,3,3,5,5,5,8,8,1,
27,2,2,2,2,2,2,8,8,1,
28,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,3,
30,1,1,1,1,1,7,7,7,3,
31,1,1,3,4,4,7,7,7,3,
32,1,1,1,1,1,7,7,7,3,
33,1,1,1,1,1,1,1,1,3,
34,1,1,1,1,1,1,1,1,3,
35,0,3,3,3,3,3,3,3,0,
36,1,1,1,1,1,1,1,1,3,
37,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,3,
40,2,2,4,5,5,5,5,5,3,
41,2,2,4,5,5,5,5,5,3,
42,1,1,1,1,1,1,1,1,3,
43,2,2,4,5,5,5,5,5,3,
44,1,1,1,1,1,1,1,1,3,
45,99,99,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,0,
53,1,1,1,1,1,1,1,1,3,
54,1,1,1,1,1,1,1,1,3,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.07419492453350275,0.10162103166952065,0.11036298281050416,0.12629932312731848,0.13459878352165952,0.13040695726153975,0.12388130785477515,0.11887371688642946,0.14364620500000652,
NMI,0.21870031032241491,0.2921553581568111,0.42676813261426838,0.52803562445459229,0.58217511071852945,0.57040559611483199,0.59786945728279073,0.61859723162904834,1.0,
Silhoutte,0.18312033,0.20122668,0.25398247,0.27602001,0.31636954,0.30905774,0.29754985,0.28461658,0.22999047,
