,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,0,3,3,3,3,7,7,7,7,7,7,7,3,
1,2,2,2,5,5,5,5,5,5,5,5,5,1,
2,2,2,2,2,2,2,2,2,2,2,2,2,1,
3,2,2,2,2,2,2,2,2,2,2,2,2,1,
4,0,3,3,4,3,7,7,7,7,7,7,7,3,
5,0,0,1,5,5,5,5,5,5,5,5,5,0,
6,1,3,3,5,5,5,5,5,5,5,5,5,0,
7,0,0,4,4,5,5,8,8,4,4,4,4,2,
8,0,0,4,4,5,5,8,8,4,4,4,4,2,
9,2,2,2,2,2,2,2,2,2,2,2,2,1,
10,2,2,2,2,2,2,2,2,2,2,2,2,1,
11,0,0,1,0,0,1,8,8,10,10,10,10,3,
12,0,0,1,5,5,5,5,5,5,5,5,5,0,
13,0,0,0,0,6,6,6,6,6,9,12,13,1,
14,1,3,3,3,3,3,3,3,3,3,3,3,0,
15,1,3,3,3,3,3,3,3,3,3,3,3,0,
16,0,0,1,5,6,6,6,6,6,6,6,6,2,
17,1,3,3,3,3,3,3,3,3,3,3,3,0,
18,1,3,3,3,3,3,3,3,3,3,3,3,0,
19,1,0,0,0,6,7,7,9,9,9,9,9,0,
20,1,3,3,3,3,3,3,3,3,3,3,3,0,
21,1,3,3,3,3,3,3,3,3,3,3,3,0,
22,1,3,3,3,3,3,3,3,3,5,5,3,0,
23,2,2,2,2,2,2,2,2,2,2,2,2,1,
24,0,0,0,0,0,0,0,0,0,0,0,13,3,
25,0,0,0,5,6,6,8,9,9,11,11,11,2,
26,1,3,3,3,3,3,3,3,3,3,3,3,0,
27,0,0,0,0,6,7,7,9,9,9,9,9,0,
28,1,1,1,1,4,4,4,4,8,8,12,12,2,
29,1,1,4,4,4,4,4,4,8,8,12,12,2,
30,2,2,2,2,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,2,2,2,2,1,
34,0,0,0,0,0,0,0,0,0,0,12,12,1,
35,0,3,3,3,3,7,7,7,7,7,7,7,3,
36,1,1,4,4,4,4,8,8,4,4,4,4,2,
37,0,0,4,4,4,4,4,4,8,8,8,8,2,
38,1,1,1,4,4,4,0,0,6,9,12,12,2,
39,2,1,1,5,6,6,6,6,6,6,6,6,2,
40,1,1,1,1,1,1,1,1,1,1,1,1,2,
41,0,0,0,1,1,1,1,1,1,1,1,1,2,
42,1,1,1,1,1,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,1,1,1,1,1,2,
44,1,1,4,4,4,4,4,4,8,8,8,12,2,
45,2,1,1,4,6,6,6,6,6,6,6,6,2,
46,2,1,1,1,6,6,6,6,6,6,6,6,2,
47,1,0,4,4,4,4,4,4,8,8,8,8,2,
48,1,1,4,4,4,4,4,4,8,8,8,12,2,
49,1,1,4,4,4,4,4,4,8,8,8,12,2,
50,2,1,1,5,6,6,1,5,5,11,11,11,2,
51,1,1,4,4,6,6,8,8,8,11,11,11,2,
52,0,0,4,4,0,0,8,8,10,10,10,10,3,
53,1,1,4,4,4,4,4,4,8,8,8,12,2,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12586106490038332,0.22843171749053012,0.22025033652078785,0.2067633326073624,0.2228079829123446,0.2292140790240946,0.22605138176542797,0.2193772428404756,0.21992588174741576,0.21898038724931418,0.2133593682667612,0.21830089340617095,0.2690241390304165,
NMI,0.36631018825657996,0.58842174190720953,0.52877695620340381,0.54648045481811591,0.55563518271147438,0.60338177898352474,0.60007803833005768,0.58174401767061135,0.63666681048390084,0.65072785290214008,0.66513021642558268,0.65975642486252073,1.0,
Silhoutte,-0.01500644,0.09422541,0.09414014,0.10203322,0.14181006,0.18108606,0.20083114,0.23157313,0.25908969,0.27833975,0.29865207,0.31723946,0.09175559,
