,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,1,2,2,5,5,5,0,
1,1,1,1,1,1,1,13,
2,2,2,2,5,5,5,0,
3,1,1,1,1,6,6,11,
4,1,2,2,5,5,5,0,
5,2,2,2,5,5,5,0,
6,0,3,4,4,4,7,13,
7,2,3,4,4,4,4,13,
8,2,3,4,4,4,1,13,
9,0,0,0,0,6,6,11,
10,2,3,3,3,3,3,0,
11,2,3,3,3,3,3,0,
12,2,3,3,3,3,3,0,
13,2,3,3,3,6,6,11,
14,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,1,
16,2,3,4,5,4,7,1,
17,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,1,
21,1,3,4,4,4,1,13,
22,99,99,99,99,99,99,99,
23,1,1,1,1,6,6,11,
24,1,1,1,1,1,1,13,
25,99,99,99,99,99,99,99,
26,0,2,4,4,4,7,1,
27,1,1,1,1,1,1,13,
28,1,1,1,1,1,1,13,
29,1,1,1,1,1,1,13,
30,1,1,3,1,6,6,11,
31,2,3,3,3,6,6,0,
32,1,3,3,1,6,6,11,
33,1,1,1,1,1,1,13,
34,99,99,99,99,99,99,99,
35,1,2,2,5,5,5,0,
36,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,
38,0,0,4,5,5,7,11,
39,1,1,1,1,5,4,11,
40,1,1,1,1,1,1,13,
41,1,1,1,1,1,1,13,
42,99,99,99,99,99,99,99,
43,1,1,1,1,5,4,13,
44,1,1,1,5,5,4,13,
45,1,1,1,5,4,4,13,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,6,6,11,
50,99,99,99,99,99,99,99,
51,1,1,1,1,1,1,13,
52,2,2,3,3,3,3,0,
53,1,1,1,4,4,7,11,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.0904147500895136,0.12984204629778595,0.1494221641545437,0.13494404870140153,0.12726487640008194,0.13938047803306394,0.16891405603133502,
NMI,0.28277256015248903,0.44604049637952736,0.48861550031283635,0.47424720672400766,0.59388590767771887,0.69252787813714112,1.0,
Silhoutte,0.25515382,0.2779307,0.32669115,0.3626021,0.37998097,0.41555349,0.32127593,
