,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,0,3,3,4,6,6,0,
1,1,1,1,1,5,5,5,
2,0,3,4,4,6,6,0,
3,0,3,3,3,3,3,1,
4,0,3,4,4,6,6,0,
5,2,2,2,2,6,6,0,
6,2,2,2,2,2,7,4,
7,0,0,4,4,4,4,4,
8,2,2,4,2,4,4,4,
9,1,3,3,3,3,3,1,
10,1,3,3,3,3,3,1,
11,1,1,1,4,6,6,0,
12,1,1,4,4,6,6,0,
13,1,3,3,3,3,3,1,
14,1,3,3,3,3,3,1,
15,1,3,3,3,3,3,1,
16,2,2,2,2,2,2,4,
17,2,2,2,2,2,2,4,
18,2,2,2,2,2,2,4,
19,2,2,2,2,2,2,4,
20,2,2,2,2,2,2,4,
21,2,2,2,2,2,2,4,
22,99,99,99,99,99,99,99,
23,0,3,3,3,3,3,1,
24,2,2,2,2,2,2,4,
25,99,99,99,99,99,99,99,
26,2,3,3,3,3,7,1,
27,1,1,1,5,5,5,5,
28,1,1,1,5,5,5,5,
29,1,1,1,5,5,5,5,
30,1,1,1,5,5,5,5,
31,1,1,1,5,5,5,5,
32,1,1,1,5,5,5,5,
33,1,1,1,5,5,5,5,
34,2,2,2,2,2,2,4,
35,0,3,4,4,6,6,0,
36,2,2,4,4,4,4,4,
37,1,1,4,1,1,1,5,
38,1,1,4,1,1,1,5,
39,1,1,4,1,1,1,5,
40,1,1,4,1,1,1,5,
41,1,1,4,1,1,1,5,
42,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,5,
44,1,1,1,1,1,1,5,
45,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,5,5,5,
50,1,1,4,1,4,4,5,
51,2,2,4,4,4,4,4,
52,1,3,4,4,6,6,0,
53,0,0,0,0,0,0,0,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.09154314515759165,0.1680646757877657,0.1547100496825976,0.19870041409613245,0.21206803112749778,0.2044492358113282,0.23004487337263615,
NMI,0.51022111478572563,0.71892282583633405,0.56519793290896669,0.76275259288485986,0.81994433103936204,0.7799543059081161,1.0,
Silhoutte,0.17803752,0.22248232,0.24978358,0.32887585,0.38504555,0.38598627,0.33391268,
