,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,
0,1,1,4,4,4,0,
1,0,3,3,3,6,1,
2,1,1,4,4,4,0,
3,2,2,2,2,2,1,
4,1,1,4,4,4,0,
5,2,2,4,2,2,0,
6,2,3,3,3,6,1,
7,2,2,2,2,2,1,
8,1,1,1,1,1,2,
9,1,1,4,4,4,1,
10,2,2,2,2,2,1,
11,1,1,1,1,1,2,
12,2,2,2,2,2,1,
13,2,2,2,2,2,1,
14,2,2,2,2,2,1,
15,2,2,2,2,2,1,
16,2,2,2,2,2,1,
17,2,2,2,2,2,1,
18,2,2,2,2,2,1,
19,2,2,2,2,2,1,
20,2,2,2,2,2,1,
21,2,2,2,2,6,1,
22,2,2,2,2,2,1,
23,2,2,2,4,4,1,
24,2,2,2,2,2,1,
25,1,1,1,1,1,2,
26,2,2,2,2,3,1,
27,1,1,1,1,1,2,
28,1,1,1,1,3,2,
29,1,1,1,1,3,2,
30,1,3,3,3,3,2,
31,1,1,1,1,5,2,
32,1,1,1,1,1,2,
33,1,1,1,1,1,2,
34,1,1,1,1,1,2,
35,2,3,4,5,5,0,
36,1,1,1,1,1,2,
37,1,1,1,1,1,2,
38,1,1,1,1,1,2,
39,1,1,1,1,1,2,
40,1,1,1,1,5,2,
41,1,1,1,5,5,2,
42,1,1,1,1,5,2,
43,1,1,1,1,1,2,
44,1,1,1,1,1,2,
45,1,1,1,1,1,2,
46,1,1,1,1,1,2,
47,1,1,1,1,1,2,
48,1,1,1,1,1,2,
49,1,1,1,1,1,2,
50,1,3,3,3,3,2,
51,1,3,3,3,3,2,
52,1,3,3,3,3,0,
53,1,1,1,1,1,2,
54,99,99,99,99,99,99,
55,99,99,99,99,99,99,
Modularity,0.06830537194542785,0.06261715149928172,0.07410594599693347,0.06670946545035512,0.06358234380496137,0.08304437806297216,
NMI,0.62524801560676746,0.50490554695447898,0.7363677406836745,0.61012594931469888,0.5466674601060989,1.0,
Silhoutte,0.16936317,0.16575164,0.24476722,0.23484535,0.27518284,0.23316199,
