,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,3,3,5,5,5,0,
1,1,1,1,1,6,6,5,
2,2,3,3,5,5,5,0,
3,0,3,3,3,3,3,1,
4,2,3,3,5,5,5,0,
5,0,2,2,2,2,5,0,
6,2,2,2,0,0,7,4,
7,0,2,4,5,4,4,4,
8,2,2,4,5,4,4,4,
9,1,3,3,3,3,3,1,
10,1,3,3,3,3,3,1,
11,1,1,1,5,5,5,0,
12,1,1,1,5,5,5,0,
13,1,3,3,3,3,3,1,
14,1,3,3,3,3,3,1,
15,2,3,3,3,3,3,1,
16,2,2,2,2,2,2,4,
17,2,2,2,2,2,2,4,
18,2,2,2,2,2,2,4,
19,2,2,2,2,2,2,4,
20,2,2,2,2,2,2,4,
21,2,2,2,2,2,7,4,
22,99,99,99,99,99,99,99,
23,0,3,3,3,3,3,1,
24,2,2,2,2,2,2,4,
25,99,99,99,99,99,99,99,
26,2,3,3,3,3,7,1,
27,1,1,1,4,6,6,5,
28,1,1,1,4,6,6,5,
29,1,1,1,4,6,6,5,
30,1,1,1,4,6,6,5,
31,1,1,4,4,6,6,5,
32,1,1,1,4,6,6,5,
33,1,1,1,4,6,6,5,
34,1,2,2,2,2,2,4,
35,2,3,3,5,5,5,0,
36,2,2,4,5,4,4,4,
37,1,1,1,1,1,1,5,
38,1,1,1,1,1,1,5,
39,1,1,1,1,1,1,5,
40,1,1,1,1,1,1,5,
41,1,1,1,1,1,1,5,
42,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,5,
44,1,1,1,1,1,1,5,
45,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,5,
50,1,1,4,1,4,4,5,
51,1,2,4,5,4,4,4,
52,2,3,3,5,5,5,0,
53,0,0,0,0,0,0,0,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.08479472150289086,0.18236167441201112,0.1610677400038778,0.2000401894831177,0.20939979296568192,0.20665237716694887,0.2357705042444027,
NMI,0.34201155491427027,0.7556287280366335,0.63953459552815783,0.7217978167827136,0.75106713343607867,0.76789590439764621,1.0,
Silhoutte,0.15137151,0.2400677,0.23769906,0.30467124,0.36445589,0.36555762,0.3275942,
