,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,1,3,3,3,3,3,3,3,1,
1,1,1,1,0,6,6,8,8,1,
2,2,3,3,3,3,3,3,3,1,
3,2,2,2,2,2,2,2,2,1,
4,0,3,3,3,3,3,3,3,1,
5,2,3,2,2,2,2,2,2,1,
6,2,2,2,2,6,6,8,8,1,
7,2,3,4,4,4,4,4,4,0,
8,2,3,4,4,4,4,4,4,0,
9,2,3,4,4,6,6,6,6,1,
10,2,3,4,4,4,4,4,6,1,
11,2,3,3,3,2,2,4,2,1,
12,2,3,2,2,2,4,4,2,1,
13,2,2,2,2,2,2,2,2,1,
14,2,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,1,
23,0,0,4,4,6,6,6,6,0,
24,1,1,1,1,1,1,1,1,2,
25,1,1,1,1,6,6,6,9,2,
26,2,2,2,2,2,2,2,2,1,
27,1,1,1,1,1,1,1,1,2,
28,1,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,1,2,
30,1,1,4,5,5,5,5,5,2,
31,1,1,4,5,5,5,5,5,2,
32,1,1,4,5,5,5,5,5,2,
33,1,1,4,5,5,5,5,5,2,
34,1,1,1,1,1,1,1,1,2,
35,0,3,3,3,3,3,3,3,1,
36,1,1,1,4,4,4,4,4,0,
37,1,1,1,4,4,1,4,4,0,
38,1,1,1,1,1,1,1,9,2,
39,1,1,1,1,1,1,1,1,2,
40,2,2,4,1,1,7,7,7,2,
41,2,3,4,4,4,7,7,7,2,
42,1,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,7,7,7,2,
44,1,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,1,1,2,
51,1,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.10337998606011356,0.10820924391811414,0.11131246148735477,0.11793307187019623,0.11351321822595463,0.1055472503004911,0.10587982244999668,0.102314909249505,0.13582281218618963,
NMI,0.43164217162874602,0.49074434670363387,0.48994896444298802,0.67885054209574358,0.61916964491277693,0.56451433642026405,0.60533088670629376,0.68187894728789766,1.0,
Silhoutte,0.15190811,0.1467724,0.16293779,0.16839524,0.19263488,0.20538833,0.22726094,0.22697315,0.11490943,
