,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,0,1,4,4,5,7,3,
1,0,3,3,3,6,6,2,
2,99,99,99,99,99,99,99,
3,2,3,3,3,3,3,2,
4,2,2,2,2,2,2,3,
5,2,2,3,3,6,6,2,
6,0,3,3,3,6,6,2,
7,1,1,1,1,1,1,2,
8,1,1,1,1,1,1,2,
9,99,99,99,99,99,99,99,
10,1,1,1,1,1,1,2,
11,1,1,1,1,1,1,2,
12,1,1,1,1,1,1,2,
13,1,1,1,1,3,3,2,
14,1,1,1,1,1,1,2,
15,1,1,1,1,1,1,2,
16,1,1,1,1,1,1,2,
17,1,1,1,1,1,1,2,
18,1,1,1,1,1,1,2,
19,1,1,1,1,1,1,2,
20,1,1,1,1,1,1,2,
21,1,1,1,3,6,1,2,
22,1,1,1,1,1,1,2,
23,2,3,3,5,3,3,2,
24,1,3,3,3,3,3,2,
25,1,1,1,1,1,1,2,
26,2,2,2,2,2,2,3,
27,2,2,2,2,2,2,3,
28,1,1,1,1,1,1,2,
29,2,2,2,2,2,2,3,
30,1,1,2,1,2,2,2,
31,1,1,1,1,1,7,2,
32,1,1,1,1,1,7,2,
33,2,2,2,2,2,2,3,
34,2,2,2,2,2,2,3,
35,2,2,4,4,5,2,3,
36,2,2,2,5,2,5,3,
37,2,2,2,2,2,2,3,
38,0,0,0,5,4,5,3,
39,2,2,2,5,2,5,3,
40,1,1,4,4,4,4,3,
41,1,1,1,4,4,4,3,
42,1,1,4,4,4,4,3,
43,2,2,2,2,2,2,3,
44,2,2,2,2,2,2,3,
45,2,1,1,1,5,7,2,
46,2,2,2,2,2,2,3,
47,2,2,2,2,2,2,3,
48,2,1,1,1,1,7,2,
49,2,2,2,2,2,2,3,
50,2,2,2,2,2,2,3,
51,2,2,2,2,2,2,3,
52,0,0,0,0,0,7,3,
53,2,2,2,2,2,2,3,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.06426390714533906,0.0745248052788855,0.08081468322228408,0.08582398792621762,0.08862517416265993,0.08869381423743802,0.11305466970971295,
NMI,0.27271304667193769,0.46678525503050616,0.56699915721520477,0.64173740560152681,0.55695085756815688,0.50658512989485405,1.0,
Silhoutte,0.18448465,0.19930095,0.26748605,0.27677298,0.31901752,0.30866297,0.19394169,
