,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,2,5,5,5,0,
1,0,3,4,4,6,4,0,
2,2,3,3,3,3,3,0,
3,1,1,1,1,1,1,0,
4,2,2,2,5,5,5,0,
5,0,3,4,5,6,4,0,
6,1,1,4,4,6,4,0,
7,0,0,4,4,4,7,0,
8,1,1,1,1,4,7,0,
9,1,3,3,3,3,6,0,
10,0,0,4,4,4,6,0,
11,1,1,4,4,6,4,0,
12,0,0,4,4,6,4,0,
13,0,3,3,3,4,6,0,
14,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,1,
16,2,2,2,2,3,3,1,
17,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,1,
22,1,1,1,1,1,1,1,
23,2,3,3,3,3,3,0,
24,0,3,4,4,4,6,0,
25,1,1,1,1,1,1,3,
26,2,2,2,2,2,2,1,
27,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,3,
30,2,3,3,3,3,3,0,
31,1,1,1,1,1,1,3,
32,2,3,3,3,3,3,0,
33,1,1,1,1,1,1,3,
34,1,1,1,1,1,1,3,
35,1,1,1,1,1,1,3,
36,1,1,1,1,1,1,3,
37,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,3,
41,1,1,1,1,1,1,3,
42,1,1,1,1,1,1,3,
43,99,99,99,99,99,99,99,
44,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,3,
47,99,99,99,99,99,99,99,
48,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,3,
Modularity,0.08028868811259071,0.08962383239947805,0.11053044109073835,0.11055336912496268,0.1052356063539159,0.10263206753509252,0.12710500275134995,
NMI,0.51426972036645258,0.59183114635310785,0.64839488690752567,0.70261495423362286,0.673719997870451,0.66055301761300989,1.0,
Silhoutte,0.29327553,0.32856708,0.38986752,0.42432424,0.40653396,0.38867098,0.33522142,
