,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,0,0
1,1,3,3,3,3,3,8,0,0
2,0,3,3,3,3,3,3,0,0
3,1,1,1,4,4,4,1,1,1
4,0,3,3,3,3,3,3,0,0
5,0,3,3,3,3,3,3,0,0
6,1,1,4,4,6,6,8,0,0
7,2,2,4,5,6,6,6,3,2
8,2,2,1,5,6,6,6,3,2
9,0,3,4,4,4,4,4,1,3
10,2,2,4,4,6,6,8,0,2
11,2,2,4,5,6,6,6,0,2
12,2,2,4,5,6,6,6,0,2
13,0,3,4,4,4,4,4,1,4
14,1,3,4,4,4,4,4,1,3
15,2,2,2,2,2,2,2,1,4
16,2,2,2,2,2,2,2,1,5
17,2,2,2,2,2,2,2,1,5
18,2,2,2,2,2,2,2,1,5
19,2,2,2,2,2,7,7,1,4
20,2,2,2,2,2,2,2,1,5
21,2,2,2,2,2,2,2,1,4
22,99,99,99,99,99,99,99,99,99
23,0,3,3,0,5,5,5,3,6
24,2,2,3,5,5,5,5,3,6
25,1,1,1,1,1,1,1,3,6
26,0,3,0,5,5,2,2,1,4
27,2,2,2,2,2,7,7,1,4
28,1,1,1,1,1,1,1,3,1
29,1,1,1,1,1,1,1,3,1
30,1,1,1,1,1,1,1,3,2
31,1,1,1,1,1,1,1,3,2
32,1,1,1,1,1,1,1,3,2
33,1,1,1,1,1,1,1,3,1
34,1,1,1,1,1,1,1,3,2
35,0,3,3,3,3,3,3,0,0
36,1,1,1,1,4,1,8,3,2
37,1,1,1,4,1,1,1,3,6
38,1,1,1,1,1,1,1,3,6
39,1,1,1,1,1,1,1,3,1
40,2,2,4,5,5,5,5,3,6
41,2,2,4,5,5,5,5,3,6
42,1,1,1,1,1,1,1,3,1
43,2,2,4,5,5,5,5,3,6
44,1,1,1,1,1,1,1,3,1
45,99,99,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,1,3,1
50,1,1,1,1,1,1,1,3,1
51,1,1,1,1,1,1,1,3,1
52,1,1,1,1,1,1,1,3,1
53,1,1,1,1,1,1,1,3,1
54,1,1,1,1,1,1,1,3,1
55,99,99,99,99,99,99,99,99,99
Modularity,0.07502516952879952,0.09527348034319226,0.11514977918108796,0.11767741130302187,0.12701773708148903,0.126578132321521,0.11463470951641752,0.14104976017656773,0.09245606579721286
NMI,0.21141640036220397,0.28260714591804142,0.50806297124734168,0.57052178217231764,0.63935993778437905,0.70795567348354072,0.61276984120378575,1.0,0.59961056847208805
