,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,4,4,4,4,3,
1,1,1,1,1,1,1,7,
2,1,1,1,4,4,4,7,
3,1,1,1,5,1,1,7,
4,2,2,4,4,4,4,3,
5,1,1,1,1,1,1,7,
6,1,1,1,1,6,1,7,
7,1,1,1,1,6,1,7,
8,1,1,1,1,6,1,7,
9,0,0,4,5,5,5,7,
10,1,1,1,1,1,1,7,
11,99,99,99,99,99,99,99,
12,1,1,1,1,1,1,7,
13,1,1,1,1,1,5,7,
14,1,1,1,1,1,1,7,
15,1,1,1,1,1,1,7,
16,1,1,1,1,1,1,7,
17,1,1,1,1,1,1,7,
18,1,1,1,1,1,1,7,
19,1,1,1,1,1,1,7,
20,1,1,1,1,1,1,7,
21,1,1,1,1,1,1,7,
22,99,99,99,99,99,99,99,
23,0,3,4,5,5,5,7,
24,0,3,4,5,5,5,7,
25,0,3,4,4,6,6,7,
26,1,1,1,1,1,1,7,
27,2,2,2,2,2,2,6,
28,2,2,2,2,2,2,6,
29,2,2,2,2,2,2,6,
30,1,3,3,3,3,3,6,
31,0,3,3,3,3,3,6,
32,2,3,3,3,3,7,6,
33,0,3,3,3,3,3,6,
34,99,99,99,99,99,99,99,
35,0,0,4,4,4,4,3,
36,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,
38,2,2,2,2,2,2,6,
39,2,2,2,2,2,2,6,
40,2,2,2,2,2,2,6,
41,2,2,2,2,2,7,6,
42,2,2,2,2,2,7,6,
43,1,3,4,4,6,6,7,
44,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,
46,2,2,2,2,2,1,6,
47,99,99,99,99,99,99,99,
48,2,2,2,2,2,2,6,
49,2,2,2,2,2,2,6,
50,2,2,2,2,2,2,6,
51,2,2,2,2,2,2,6,
52,2,2,2,2,2,2,6,
53,2,2,2,2,2,2,6,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.11768351940704408,0.11784890972658624,0.13309703774568457,0.13146670555273887,0.12110722941016668,0.11351811343112005,0.137878191130977,
NMI,0.54326644260159462,0.58768043231926625,0.73161577954184787,0.70674647494195886,0.7071912266297643,0.62419798660478754,1.0,
Silhoutte,0.32150265,0.30943422,0.35708335,0.34958442,0.37804501,0.36589237,0.34438955,
