,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,2,3,2,3,2,2,2,0,0
1,2,3,3,3,2,2,2,0,0
2,2,3,3,3,2,2,2,0,0
3,2,3,3,3,3,3,3,1,1
4,2,2,2,2,2,2,2,0,0
5,1,1,3,5,5,5,5,0,2
6,2,3,3,3,2,2,2,0,0
7,2,3,3,5,2,2,8,0,2
8,0,0,4,5,5,5,8,0,2
9,0,3,3,3,3,3,3,1,1
10,1,1,4,5,5,5,5,0,2
11,1,1,4,5,5,5,5,0,2
12,1,3,3,5,5,5,5,0,2
13,1,1,1,3,3,3,8,0,3
14,2,2,2,2,6,6,6,0,3
15,2,2,2,2,6,6,6,0,3
16,2,2,2,2,6,6,6,0,3
17,2,2,2,2,6,6,6,0,3
18,2,2,2,2,6,6,6,0,3
19,2,2,2,2,6,6,6,0,3
20,2,2,2,2,6,6,6,0,3
21,1,2,2,2,6,6,6,0,3
22,1,1,1,1,1,1,1,2,4
23,0,3,3,3,3,3,3,1,1
24,0,3,3,3,3,3,3,1,1
25,2,1,4,4,4,4,4,1,5
26,1,2,2,2,6,6,8,0,3
27,1,1,1,1,1,1,1,2,4
28,1,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,1,2,6
30,1,3,4,4,4,4,4,1,7
31,1,3,4,4,4,4,4,1,7
32,1,3,4,4,4,4,4,1,7
33,1,1,1,4,4,4,4,1,7
34,1,3,4,4,4,4,4,1,7
35,2,1,2,1,2,2,2,0,5
36,1,1,1,1,1,1,1,2,5
37,1,1,1,1,6,7,7,2,8
38,1,1,1,1,6,7,7,2,8
39,1,1,1,1,1,1,1,2,6
40,1,1,1,1,1,1,1,2,8
41,1,1,1,1,0,7,7,2,8
42,1,1,1,1,1,1,1,2,4
43,1,1,1,1,1,1,1,2,4
44,1,1,1,1,1,1,1,2,6
45,1,1,1,1,1,1,1,2,6
46,1,1,1,1,1,1,1,2,6
47,1,1,1,1,1,1,1,2,6
48,1,1,1,1,1,1,1,2,6
49,1,1,1,1,1,1,1,2,6
50,1,1,1,1,1,1,1,1,5
51,1,1,1,1,1,1,1,2,4
52,1,1,1,1,1,1,1,2,6
53,1,1,1,1,1,1,1,2,4
54,1,1,1,1,1,1,1,2,4
55,99,99,99,99,99,99,99,99,99
Modularity,0.11353668237636688,0.14798739560723465,0.16698869433304328,0.19505328585021328,0.19760645468803925,0.19991007821342624,0.18987718280775534,0.22823840693099418,0.1444103065112466
NMI,0.34201618842699899,0.44272625087490608,0.54611082147408885,0.6401691062688375,0.62856980338323365,0.68729920332434447,0.70115366236627674,1.0,0.65302994944906279
