,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,3,3,3,3,3,3,3,2,
1,0,3,3,3,3,3,3,3,2,
2,0,3,3,3,3,3,3,3,2,
3,1,2,4,5,5,5,5,5,2,
4,0,3,3,3,3,3,3,3,2,
5,1,1,1,1,1,1,1,1,0,
6,0,3,3,3,3,7,3,3,2,
7,1,1,1,1,5,5,5,5,2,
8,0,0,2,2,6,6,6,6,4,
9,1,1,1,1,5,5,5,5,2,
10,1,1,1,1,5,5,5,5,2,
11,0,0,0,0,0,0,0,9,4,
12,1,1,1,1,1,1,1,1,0,
13,1,1,1,1,1,1,1,1,0,
14,1,1,1,1,1,1,1,1,0,
15,1,1,1,1,1,1,1,1,0,
16,2,2,2,1,1,7,7,7,0,
17,1,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,1,0,
20,1,1,1,1,1,1,1,1,0,
21,1,1,1,1,1,1,1,1,0,
22,1,1,1,1,1,1,1,1,0,
23,0,0,0,5,5,5,5,5,2,
24,2,2,2,5,5,5,8,8,4,
25,99,99,99,99,99,99,99,99,99,
26,1,1,1,1,1,1,8,8,0,
27,1,1,1,1,1,1,1,1,0,
28,1,2,4,4,4,4,4,4,4,
29,2,2,2,2,2,2,2,2,4,
30,2,2,4,4,4,4,4,4,4,
31,2,2,4,4,4,4,4,4,4,
32,2,2,4,4,4,4,4,4,4,
33,2,2,4,4,4,4,4,4,4,
34,0,0,0,0,2,2,2,2,4,
35,1,3,3,3,3,3,3,3,2,
36,0,0,2,2,6,6,6,6,4,
37,99,99,99,99,99,99,99,99,99,
38,0,0,3,5,5,7,7,7,0,
39,1,0,0,0,5,0,2,2,4,
40,2,2,2,2,2,2,2,2,4,
41,2,3,2,2,2,2,2,2,4,
42,99,99,99,99,99,99,99,99,99,
43,2,2,2,5,2,2,8,8,4,
44,2,2,2,2,2,2,2,2,4,
45,99,99,99,99,99,99,99,99,99,
46,2,2,2,2,1,1,6,6,4,
47,99,99,99,99,99,99,99,99,99,
48,2,3,2,2,6,6,6,6,4,
49,2,2,2,4,4,4,4,4,4,
50,2,2,2,2,2,2,8,2,4,
51,2,2,2,5,2,2,8,8,4,
52,1,1,1,1,1,1,1,1,2,
53,2,2,2,2,2,2,2,2,4,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.11073908808535196,0.11446227924544612,0.13056276466160066,0.1296936477743908,0.12548977885656654,0.12071878436807755,0.11850047624870554,0.11920626630094157,0.15229441994073228,
NMI,0.38129112468274218,0.43821505552684037,0.51329087782241223,0.56654017272602419,0.56433434677492644,0.57974708310128553,0.64205931645841674,0.64724141545038294,1.0,
Silhoutte,0.23765131,0.2530749,0.2632823,0.28454418,0.27574991,0.29895419,0.28237799,0.28191451,0.19656482,
