,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,2,3,3,6,2,2,0,
1,2,2,2,2,6,2,2,0,
2,2,2,2,2,6,2,2,0,
3,2,2,2,2,2,7,7,1,
4,2,2,2,2,6,2,2,0,
5,0,3,4,4,4,4,4,1,
6,2,2,2,2,6,2,2,0,
7,2,2,4,4,6,2,2,0,
8,0,0,4,4,4,4,4,1,
9,2,2,2,2,2,7,7,1,
10,0,0,4,4,4,4,4,1,
11,0,0,4,4,4,4,4,1,
12,2,2,4,4,4,4,4,1,
13,2,1,4,2,2,7,7,1,
14,2,3,3,3,3,3,3,1,
15,1,3,3,3,3,3,3,1,
16,0,3,3,3,6,3,3,1,
17,1,3,3,3,3,3,3,1,
18,1,3,3,3,3,3,3,1,
19,1,3,3,3,3,3,3,1,
20,0,3,3,3,3,3,3,1,
21,0,3,3,3,3,3,3,1,
22,1,1,1,1,1,1,1,3,
23,2,2,2,2,2,7,7,1,
24,2,2,2,2,2,7,7,1,
25,1,1,1,1,1,1,1,2,
26,1,3,3,3,3,3,3,1,
27,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,3,
30,2,2,2,5,5,5,5,2,
31,1,2,2,5,5,5,5,2,
32,2,2,2,5,5,5,5,2,
33,1,1,1,5,5,5,5,2,
34,2,2,2,5,5,5,5,2,
35,2,2,2,2,6,2,2,0,
36,1,1,1,1,1,1,1,3,
37,1,1,1,1,6,6,6,3,
38,1,1,1,1,6,6,6,3,
39,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,3,
41,0,0,0,0,0,2,6,3,
42,1,1,1,1,1,1,1,3,
43,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,3,
54,1,1,1,1,1,1,1,3,
55,99,99,99,99,99,99,99,99,
Modularity,0.12508438583800657,0.17170894989718308,0.1761501997682696,0.18382985082063408,0.19387542561636614,0.1995161397446954,0.1997107592481604,0.21939073904752143,
NMI,0.40835640153034863,0.55556143328634944,0.57415901635208633,0.67684099897191641,0.70476136709910253,0.76020349834149237,0.79318548661612343,1.0,
Silhoutte,0.08898569,0.17306124,0.20369587,0.22369127,0.32253151,0.37669353,0.36948538,0.21728361,
