,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,1,2,1,5,5,5,1,
1,1,1,1,1,1,1,14,
2,2,2,2,5,5,5,1,
3,1,1,1,1,6,6,12,
4,1,2,2,5,5,5,1,
5,2,2,2,5,5,5,1,
6,0,3,3,3,3,3,0,
7,2,3,3,3,3,3,0,
8,2,3,3,3,3,3,14,
9,0,0,0,0,6,6,1,
10,2,3,4,4,4,4,1,
11,2,3,4,4,4,4,1,
12,2,3,4,4,4,4,1,
13,1,3,4,1,6,6,1,
14,2,2,2,2,2,2,2,
15,2,2,2,2,2,2,2,
16,2,3,3,5,6,7,2,
17,2,2,2,2,2,2,2,
18,2,2,2,2,2,2,2,
19,2,2,2,2,2,2,2,
20,2,2,2,2,2,2,2,
21,1,3,3,3,3,3,0,
22,99,99,99,99,99,99,99,
23,1,1,1,3,6,6,12,
24,1,1,1,1,1,1,14,
25,99,99,99,99,99,99,99,
26,0,2,3,3,3,7,0,
27,1,1,1,1,1,1,14,
28,1,1,1,1,1,1,14,
29,1,1,1,1,1,1,14,
30,1,1,4,1,6,6,12,
31,1,3,4,4,4,6,1,
32,1,1,1,1,6,6,12,
33,1,1,1,1,1,1,14,
34,99,99,99,99,99,99,99,
35,1,2,2,5,5,5,1,
36,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,
38,0,3,3,3,3,7,12,
39,1,1,1,1,1,3,12,
40,1,1,1,1,1,1,14,
41,1,1,1,1,1,1,14,
42,99,99,99,99,99,99,99,
43,1,1,4,0,5,5,14,
44,1,3,1,5,5,3,14,
45,1,3,1,5,5,3,14,
46,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,
49,1,1,1,1,6,6,12,
50,99,99,99,99,99,99,99,
51,1,1,1,1,1,1,14,
52,2,2,4,4,4,4,1,
53,1,1,3,3,3,7,12,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.0816695425486631,0.10501964977868217,0.11902101558374201,0.12681533667353723,0.13672844609900628,0.12836737744206195,0.1653773469449602,
NMI,0.34971988343892629,0.43128261572009075,0.48629736311795962,0.54842811904510924,0.62226892579520232,0.64243407605293423,1.0,
Silhoutte,0.2647713,0.27100363,0.30781633,0.36457193,0.36834611,0.39860393,0.33589089,
