,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,0,4,5,5,5,5,5,0,
1,1,3,4,5,6,6,6,6,1,
2,2,2,2,2,2,2,2,2,1,
3,2,2,2,2,2,2,2,2,1,
4,0,0,4,5,5,5,5,5,0,
5,2,2,2,2,2,2,2,2,1,
6,1,1,4,5,6,6,6,6,1,
7,1,3,4,5,6,6,6,6,1,
8,0,1,1,1,1,7,8,9,3,
9,0,0,0,0,0,7,7,7,1,
10,2,2,2,2,2,2,2,2,1,
11,2,2,2,2,2,2,2,2,1,
12,2,2,2,2,2,2,2,2,1,
13,2,2,2,2,2,2,2,2,1,
14,0,3,3,3,3,3,3,3,1,
15,2,3,3,3,3,3,3,3,1,
16,1,1,1,1,1,1,1,1,3,
17,2,3,3,3,3,3,3,3,1,
18,2,3,3,3,3,3,3,3,1,
19,0,3,3,3,3,3,3,3,1,
20,2,3,3,3,3,3,3,3,1,
21,2,3,3,5,3,3,3,3,1,
22,2,3,3,3,3,3,3,3,1,
23,0,0,4,4,4,4,4,4,1,
24,2,3,4,4,4,4,4,4,1,
25,2,3,3,3,3,3,3,3,1,
26,0,3,3,3,3,3,3,3,1,
27,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,1,
34,99,99,99,99,99,99,99,99,99,
35,1,1,1,1,1,1,1,1,3,
36,1,1,1,1,1,1,1,1,3,
37,2,2,4,4,6,6,8,8,3,
38,2,2,4,4,5,5,8,8,3,
39,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,3,
41,0,0,4,4,4,7,7,7,1,
42,1,1,1,1,1,1,1,1,3,
43,0,0,4,4,4,4,4,4,1,
44,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,3,
47,2,1,4,4,6,6,8,8,3,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.1302794638898101,0.15533697998216323,0.17777143553822794,0.17338790186709,0.17417287696578035,0.16614167408443145,0.1695251007108269,0.1695376571276909,0.19521956691302095,
NMI,0.36677293261664845,0.54745275743590405,0.55772923052998657,0.57636466051581015,0.61611433951370387,0.57594310356770062,0.67905372725768065,0.67107932024019934,1.0000000000000002,
Silhoutte,0.20308594,0.22681837,0.28628097,0.30317009,0.32635301,0.33152716,0.39287376,0.4001318,0.2574574,
