,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,3,3,3,3,3,3,0,
1,0,0,0,0,0,0,6,0,
2,2,3,3,3,3,3,3,0,
3,0,3,4,4,4,4,4,1,
4,0,3,3,3,3,3,3,0,
5,1,1,1,1,1,1,1,0,
6,1,1,1,1,1,1,1,0,
7,1,1,1,1,1,1,1,0,
8,1,1,1,1,1,1,1,0,
9,0,3,4,4,4,4,4,1,
10,1,1,1,1,1,1,1,0,
11,2,2,2,2,2,2,2,3,
12,1,1,1,1,1,1,1,0,
13,1,1,1,1,1,1,1,0,
14,1,1,1,1,1,1,1,0,
15,1,1,1,1,1,1,1,0,
16,1,1,1,1,1,1,1,0,
17,1,1,1,1,1,1,1,0,
18,1,1,1,1,1,1,1,0,
19,1,1,1,1,1,1,1,0,
20,1,1,1,1,1,1,1,0,
21,1,1,1,1,1,1,1,0,
22,1,1,1,1,1,1,1,0,
23,0,3,4,4,4,4,4,1,
24,2,2,2,2,2,2,2,3,
25,2,2,2,2,2,2,7,3,
26,1,1,1,1,1,1,1,0,
27,1,1,1,1,1,1,1,0,
28,2,2,2,2,2,2,8,3,
29,2,2,2,2,2,2,2,3,
30,0,0,4,4,6,6,8,1,
31,0,0,0,0,6,6,6,2,
32,0,0,0,0,6,6,6,2,
33,2,2,2,2,2,2,2,3,
34,2,2,2,2,2,2,2,3,
35,0,3,3,3,3,3,3,3,
36,2,2,2,5,2,7,7,3,
37,2,2,2,2,2,2,2,3,
38,2,2,2,2,2,2,2,3,
39,2,2,2,2,2,2,2,3,
40,1,1,4,5,5,5,5,3,
41,1,1,4,5,5,5,5,3,
42,1,1,4,5,5,5,5,3,
43,0,0,0,5,5,5,5,3,
44,2,2,2,2,2,2,2,3,
45,2,2,2,2,2,2,2,3,
46,2,2,2,2,2,2,2,3,
47,0,0,3,5,6,7,7,3,
48,2,2,2,2,2,2,2,3,
49,2,2,2,2,2,2,2,3,
50,2,2,2,2,2,2,2,3,
51,2,2,2,2,2,2,2,3,
52,2,2,2,2,2,2,2,3,
53,2,2,2,2,2,2,2,3,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.20434737452260227,0.21662636076655384,0.23764653618788573,0.238377638939409,0.2399518471470756,0.23762678307423024,0.23122661457154897,0.2459768999824509,
NMI,0.47297366717979239,0.5251139495453121,0.66644856974321554,0.7617382801279452,0.72312759658700165,0.73511732997967916,0.69788112027657823,1.0,
Silhoutte,0.25262814,0.27595142,0.34692399,0.38147898,0.39866988,0.40911208,0.36614975,0.30232743,
