,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,3,4,2,4,4,4,1,
1,0,0,0,5,6,5,5,0,
2,0,2,4,2,4,4,4,1,
3,2,2,4,4,6,6,6,1,
4,0,0,4,4,4,4,4,1,
5,2,2,2,2,2,2,2,1,
6,1,0,0,5,5,5,5,0,
7,1,1,0,5,5,5,5,0,
8,1,1,1,1,1,1,8,2,
9,2,3,4,4,6,6,6,1,
10,2,3,4,4,6,6,6,1,
11,2,3,4,4,6,6,6,1,
12,2,2,2,2,2,2,2,1,
13,2,2,4,4,6,6,6,1,
14,2,2,2,2,2,6,6,1,
15,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,1,
23,1,3,3,3,3,3,3,3,
24,0,3,3,3,3,3,3,3,
25,0,0,3,3,3,3,3,3,
26,0,3,3,3,3,3,3,3,
27,1,1,2,2,1,1,2,2,
28,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,2,
30,2,1,1,1,1,7,7,2,
31,0,0,0,0,0,7,7,3,
32,0,0,0,0,0,7,7,3,
33,2,2,2,2,2,2,2,1,
34,1,1,1,1,1,1,1,2,
35,1,1,4,4,4,4,4,2,
36,1,1,1,1,1,1,8,2,
37,1,1,1,1,1,1,1,2,
38,1,3,3,3,3,3,1,2,
39,1,1,1,1,1,1,1,2,
40,2,2,2,5,5,7,7,3,
41,2,2,2,5,5,7,7,3,
42,2,2,2,5,5,7,7,3,
43,1,3,3,3,3,3,3,3,
44,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,8,2,
48,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,2,
50,2,3,3,3,3,3,3,3,
51,1,1,1,1,1,1,1,2,
52,1,1,2,2,1,1,1,1,
53,1,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.08713404897896157,0.09889667919859096,0.11817276124360242,0.1257269017509915,0.12519301184077242,0.12829175575096222,0.11891902507619802,0.138814677058932,
NMI,0.42690044675158517,0.50710926223907971,0.61385631437278287,0.68860143768884585,0.64498655265731331,0.67882896637200418,0.64998808004728958,1.0,
Silhoutte,0.08625115,0.11960088,0.18145882,0.20769736,0.2543752,0.28697583,0.28818457,0.18106044,
