,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,3,3,3,3,3,3,3,
1,0,3,3,3,3,3,3,3,
2,0,3,3,3,3,3,3,3,
3,0,3,4,5,5,4,8,2,
4,0,3,4,3,3,3,3,3,
5,0,3,3,3,3,3,3,3,
6,0,3,0,0,6,6,8,3,
7,1,1,1,4,6,6,8,3,
8,1,1,1,1,1,1,1,3,
9,1,1,4,3,4,4,8,2,
10,0,3,3,4,6,6,6,3,
11,1,1,1,1,1,1,1,4,
12,2,0,3,4,6,6,6,3,
13,0,3,4,3,3,4,8,2,
14,1,3,4,3,4,4,8,2,
15,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,2,0,
22,99,99,99,99,99,99,99,99,
23,0,3,4,3,3,7,8,2,
24,0,3,0,5,5,7,7,2,
25,1,1,3,5,5,5,5,3,
26,0,3,4,5,6,7,7,2,
27,2,1,2,2,2,2,2,0,
28,1,1,1,1,1,1,1,4,
29,1,1,1,1,1,1,1,4,
30,1,1,3,5,5,5,5,3,
31,0,0,4,4,4,5,3,2,
32,1,1,1,1,1,5,5,4,
33,1,1,1,1,1,1,1,4,
34,1,1,1,1,1,5,5,4,
35,1,3,4,3,3,3,3,3,
36,1,1,1,1,1,1,1,4,
37,1,1,1,1,1,1,1,4,
38,1,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,1,4,
40,2,2,3,4,4,4,4,2,
41,2,2,3,4,4,4,4,2,
42,2,2,3,4,4,4,4,2,
43,1,1,1,1,1,1,1,4,
44,1,1,1,1,1,1,1,4,
45,99,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,1,4,
51,1,1,1,1,1,1,1,4,
52,1,1,1,1,1,1,1,4,
53,1,1,1,1,1,1,1,4,
54,1,1,1,1,1,1,1,4,
55,99,99,99,99,99,99,99,99,
Modularity,0.12017222972018,0.12829880477650857,0.1443642877999684,0.14395960388046702,0.14277399358028212,0.15078192786485897,0.14831437199541816,0.16636418523688706,
NMI,0.49653349703195854,0.50399747294323161,0.6940075802037311,0.66737253549963516,0.72079056215448511,0.7494142069915587,0.6815909255147965,1.0,
Silhoutte,0.20279413,0.17704223,0.24289016,0.24667177,0.27189891,0.29312519,0.31916492,0.28034287,
