,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,0,0,5,5,5,5,5,0,
1,1,2,3,3,6,6,6,6,1,
2,2,2,2,2,6,6,6,6,1,
3,2,2,2,2,2,2,2,2,1,
4,0,0,0,5,5,5,5,5,0,
5,2,2,2,2,2,2,2,2,1,
6,1,2,2,2,6,6,6,6,1,
7,2,2,2,2,6,6,6,6,1,
8,0,0,0,0,0,7,8,8,3,
9,0,0,0,0,0,0,6,9,1,
10,2,2,2,2,2,2,2,2,1,
11,2,2,2,2,2,2,2,2,1,
12,2,3,3,3,3,3,3,3,1,
13,2,2,2,2,2,2,2,2,1,
14,2,3,3,3,3,3,3,3,1,
15,2,3,3,3,3,3,3,3,1,
16,1,1,1,1,1,1,1,1,3,
17,2,3,3,3,3,3,3,3,1,
18,2,3,3,3,3,3,3,3,1,
19,2,3,3,3,3,3,3,3,1,
20,2,3,3,3,3,3,3,3,1,
21,2,3,3,3,6,6,6,6,1,
22,2,3,3,3,3,3,3,3,1,
23,2,0,4,4,4,4,4,4,1,
24,2,3,4,4,4,4,4,4,1,
25,2,3,3,3,2,2,3,3,1,
26,2,3,3,3,3,3,8,8,1,
27,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,2,2,1,
31,2,2,2,2,2,2,2,2,1,
32,2,2,2,2,2,2,2,2,1,
33,2,2,2,2,2,2,2,2,1,
34,99,99,99,99,99,99,99,99,99,
35,1,1,1,1,1,1,1,1,3,
36,1,1,1,1,1,7,8,8,3,
37,2,3,4,4,5,7,7,7,3,
38,2,2,4,4,5,5,7,7,3,
39,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,3,
41,0,0,4,4,4,4,4,4,1,
42,1,1,1,1,1,1,1,1,3,
43,0,0,4,4,4,4,4,4,1,
44,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,3,
47,2,3,4,4,5,7,7,7,3,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.11018816905186085,0.13175646585481068,0.1365221914530718,0.1364837485321209,0.13114355179421155,0.12727332873325953,0.1270614850351239,0.12723889899944466,0.16134869733827947,
NMI,0.45588125336528901,0.49320381675894426,0.58616781132292362,0.62259880055658334,0.6096124923837789,0.6392550404950168,0.63465856122027275,0.62611927018099234,1.0000000000000002,
Silhoutte,0.19894084,0.22870162,0.26060143,0.28259421,0.29717314,0.28928225,0.33143281,0.34001009,0.23310985,
