,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,1,1,1,1,7,8,8,8,2,
1,1,1,4,5,5,5,5,5,7,2,
2,2,2,2,2,6,7,8,8,8,2,
3,1,2,4,4,6,6,6,6,6,1,
4,0,1,3,2,3,7,8,8,8,2,
5,0,2,2,2,6,0,0,0,0,2,
6,0,1,4,5,5,5,5,5,7,2,
7,0,0,0,5,5,7,5,5,5,2,
8,0,0,0,5,5,7,7,9,5,3,
9,0,1,4,4,4,4,4,9,9,1,
10,0,1,2,5,5,5,5,5,7,2,
11,0,2,2,0,2,7,7,7,10,2,
12,0,1,1,5,5,5,5,5,7,2,
13,0,0,4,4,4,4,4,9,9,1,
14,2,3,3,3,3,3,3,3,3,0,
15,2,3,3,3,3,3,3,3,3,0,
16,2,2,3,3,6,3,7,7,10,0,
17,2,3,3,3,3,3,3,3,3,0,
18,2,3,3,3,3,3,3,3,3,0,
19,2,3,3,3,3,3,3,3,3,0,
20,2,3,3,3,3,3,3,3,3,0,
21,2,1,2,5,5,5,5,5,7,2,
22,2,3,3,3,3,3,3,3,3,0,
23,0,0,4,4,4,4,4,4,4,1,
24,0,0,4,4,4,4,4,4,4,1,
25,1,2,2,1,3,6,6,6,6,0,
26,0,0,4,4,4,6,4,9,9,1,
27,1,1,1,1,1,6,6,6,6,3,
28,1,2,2,2,6,6,6,6,6,2,
29,1,1,1,1,1,1,1,1,1,3,
30,1,2,2,2,6,6,6,6,6,2,
31,1,2,2,2,6,6,6,6,6,2,
32,2,2,2,2,6,6,6,6,6,2,
33,1,2,2,2,6,6,6,6,6,2,
34,1,2,4,4,4,4,4,4,4,1,
35,0,3,3,2,6,7,8,8,8,2,
36,1,2,1,1,1,7,1,1,5,3,
37,1,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,6,1,1,3,
39,1,1,1,1,1,1,1,1,1,3,
40,2,2,2,5,2,2,2,2,2,3,
41,2,2,2,5,2,2,2,2,2,3,
42,2,2,2,5,2,2,2,2,2,3,
43,1,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,1,3,
47,0,0,1,1,1,0,4,1,9,3,
48,1,1,1,1,1,1,1,1,1,3,
49,1,2,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,7,7,10,3,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.11383963333196091,0.0613310702209548,0.1032023428986074,0.14018107870077653,0.13212214597957692,0.13051043767617634,0.13108297499174107,0.13354222622228734,0.1272992291405199,0.1672072571233952,
NMI,0.29188873364628937,0.3176835236834748,0.56397090546050144,0.71280862197168726,0.64559893768136467,0.62766339095048029,0.59936938063797374,0.62809411424943284,0.58937993801413002,1.0,
Silhoutte,0.13808417,0.05971715,0.10139327,0.13906491,0.18084552,0.21825816,0.21630477,0.22082614,0.24640932,0.14751485,
