,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,3,3,3,3,3,3,0,
1,2,3,3,3,3,3,3,0,
2,2,3,3,3,3,3,3,0,
3,1,2,4,5,5,5,5,1,
4,1,3,3,3,3,3,3,0,
5,1,1,1,1,1,1,1,1,
6,2,3,3,3,3,7,3,0,
7,1,1,1,1,5,5,5,1,
8,1,1,2,2,6,6,6,6,
9,1,1,1,5,5,5,5,1,
10,1,1,1,5,5,5,5,1,
11,0,0,0,0,0,0,0,1,
12,1,1,1,1,1,1,1,1,
13,1,1,1,1,5,5,1,1,
14,1,1,1,1,1,1,1,1,
15,1,1,1,1,1,1,1,1,
16,2,2,3,1,1,1,8,1,
17,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,1,
22,1,1,1,1,1,1,1,1,
23,0,0,0,5,5,5,5,1,
24,2,2,2,5,5,7,7,6,
25,99,99,99,99,99,99,99,99,
26,1,1,1,5,1,7,7,1,
27,1,1,1,1,1,1,1,1,
28,1,2,1,4,4,4,1,1,
29,2,2,2,2,2,2,2,6,
30,2,2,4,4,4,4,4,3,
31,2,2,4,4,4,4,4,3,
32,2,2,4,4,4,4,4,3,
33,2,2,4,4,4,4,4,3,
34,2,2,2,2,2,2,2,6,
35,1,3,3,3,3,3,3,0,
36,2,2,2,2,6,6,6,6,
37,99,99,99,99,99,99,99,99,
38,0,3,3,5,5,7,8,1,
39,1,0,0,0,0,0,0,6,
40,2,2,2,2,2,2,2,6,
41,2,1,2,2,2,2,2,6,
42,99,99,99,99,99,99,99,99,
43,2,2,2,2,2,7,7,6,
44,2,2,2,2,2,2,2,6,
45,99,99,99,99,99,99,99,99,
46,2,2,2,2,2,2,2,6,
47,99,99,99,99,99,99,99,99,
48,2,2,2,2,6,6,6,6,
49,2,2,2,2,2,2,2,6,
50,2,2,2,2,2,2,2,6,
51,2,2,2,5,2,2,2,6,
52,1,1,1,1,1,5,1,1,
53,2,2,2,2,2,2,2,6,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.09264216981886605,0.12057246829331414,0.13573167585621165,0.13144286918732873,0.12667016586636523,0.12015761396567579,0.11780335657702522,0.14739714670728715,
NMI,0.40888431888319055,0.50104342290934423,0.76934545588353798,0.72810844958137477,0.71766911877501371,0.6559295905829795,0.72872751224528165,1.0,
Silhoutte,0.20831137,0.24119287,0.28901272,0.25735893,0.27771557,0.28695753,0.3157393,0.29264352,
