,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,1,1,1,1,6,6,6,6,1,
1,1,1,1,1,1,6,8,8,0,
2,2,2,2,2,2,2,2,2,0,
3,2,1,4,4,4,4,4,4,1,
4,0,1,1,5,6,6,6,6,1,
5,2,2,2,2,2,2,2,2,0,
6,1,0,1,1,1,1,8,8,0,
7,2,3,3,3,3,5,3,3,2,
8,2,2,2,5,5,5,2,2,0,
9,2,1,4,4,4,4,4,4,1,
10,0,1,1,1,6,6,6,6,1,
11,2,2,2,2,2,2,2,2,0,
12,1,3,3,3,3,3,3,3,2,
13,2,3,3,3,3,3,3,3,2,
14,2,2,2,2,2,2,2,2,0,
15,2,3,3,3,3,3,3,9,1,
16,2,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,0,
19,2,1,4,4,4,4,4,4,1,
20,2,3,3,3,3,3,3,3,1,
21,2,2,2,2,6,6,8,8,0,
22,2,3,4,4,4,3,3,3,1,
23,1,3,3,3,3,3,3,3,2,
24,1,3,3,3,3,3,3,3,2,
25,2,3,3,2,3,3,3,2,0,
26,0,3,3,5,5,5,3,9,3,
27,1,1,1,1,1,1,1,1,3,
28,2,2,4,4,4,4,4,4,1,
29,1,1,1,1,1,1,1,1,3,
30,2,2,4,4,4,4,4,4,1,
31,2,2,4,4,4,4,4,4,1,
32,2,2,4,4,4,4,4,4,1,
33,1,2,4,4,4,4,4,4,1,
34,1,1,1,5,5,5,5,5,3,
35,1,1,1,1,1,1,1,1,3,
36,0,0,0,5,5,5,5,5,3,
37,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,1,0,3,
39,2,1,1,1,1,1,1,1,3,
40,2,1,3,3,3,7,7,7,3,
41,1,1,1,1,1,7,7,7,3,
42,2,1,1,1,1,7,7,7,3,
43,1,3,1,1,1,3,3,9,3,
44,1,1,1,1,1,1,1,1,3,
45,1,3,2,5,5,5,6,9,3,
46,1,3,3,3,3,3,3,3,2,
47,2,2,2,2,2,2,2,2,0,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,1,3,1,1,1,1,1,1,3,
51,1,3,3,3,3,3,3,3,2,
52,1,3,3,3,3,3,3,3,2,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.07689531546565714,0.10496338956689444,0.10860459724256327,0.11051210367217551,0.11513967263957246,0.10918036703039505,0.12255028466212392,0.12212744238777454,0.15155941955037164,
NMI,0.22391963253166489,0.38531131427926474,0.54731852829209771,0.59981828207239352,0.61415640861344434,0.55801422193234107,0.63496433940796371,0.7214709198372683,1.0,
Silhoutte,0.08006562,0.0786332,0.10481359,0.11752156,0.15184792,0.1777583,0.22464788,0.23661492,0.12369778,
