,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,3,3,3,3,3,3,3,0,
1,0,3,3,3,3,3,3,3,0,
2,0,3,3,3,3,3,3,3,0,
3,2,2,2,5,5,5,5,5,2,
4,0,3,3,3,3,3,3,3,0,
5,1,1,1,5,5,5,5,5,2,
6,0,3,3,3,3,3,8,8,0,
7,1,3,3,5,5,5,5,5,2,
8,0,0,2,2,6,6,6,6,5,
9,1,1,1,5,5,5,5,5,2,
10,1,1,1,5,5,5,5,5,2,
11,0,0,0,0,0,0,0,9,5,
12,1,1,1,1,1,1,1,1,2,
13,1,1,1,5,5,5,5,5,2,
14,1,1,1,5,5,5,5,5,2,
15,1,1,1,1,1,1,1,1,1,
16,2,2,2,1,1,7,7,7,1,
17,1,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,1,1,
22,1,1,1,1,1,1,1,1,1,
23,2,2,2,5,5,5,5,5,2,
24,2,2,2,5,5,5,5,5,5,
25,99,99,99,99,99,99,99,99,99,
26,1,1,1,1,1,1,8,8,1,
27,1,1,1,1,1,1,1,1,1,
28,2,2,2,4,1,5,5,5,2,
29,2,2,2,2,2,2,2,2,5,
30,2,2,4,4,4,4,4,4,5,
31,2,2,4,4,4,4,4,4,5,
32,2,2,4,4,4,4,4,4,5,
33,2,2,4,4,4,4,4,4,5,
34,0,0,0,2,2,2,2,2,5,
35,1,3,3,3,3,3,3,3,0,
36,0,0,2,2,6,6,6,6,5,
37,99,99,99,99,99,99,99,99,99,
38,0,0,0,0,0,7,7,7,1,
39,1,0,0,0,5,0,0,8,5,
40,2,2,2,2,2,2,2,2,5,
41,1,3,3,2,2,2,2,2,5,
42,99,99,99,99,99,99,99,99,99,
43,2,2,2,2,2,2,2,2,5,
44,2,2,2,2,2,2,2,2,5,
45,99,99,99,99,99,99,99,99,99,
46,2,2,2,2,6,6,6,6,5,
47,99,99,99,99,99,99,99,99,99,
48,1,3,4,2,6,6,6,6,5,
49,2,2,2,2,2,2,2,2,5,
50,2,2,2,2,2,2,2,2,5,
51,2,2,2,5,5,5,5,5,5,
52,1,2,2,5,5,5,5,5,2,
53,2,2,2,2,2,2,2,2,5,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.10702892651491427,0.12662590192349138,0.12334882721700437,0.1540681120341741,0.1394048348526648,0.13711820544347111,0.13116475924591922,0.13103947404902125,0.16560906614987445,
NMI,0.31145769243468313,0.46301501331921435,0.47860549518554296,0.69598545261364975,0.6661465859240091,0.71010177064369295,0.67717096664521292,0.65467238605314582,1.0,
Silhoutte,0.20422061,0.23511264,0.24683967,0.27269531,0.28532877,0.31910753,0.32561876,0.32920944,0.25060463,
