,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,3,3,3,3,3,3,0,
1,2,3,3,3,3,3,3,0,
2,2,3,3,3,3,3,3,0,
3,1,3,4,4,4,4,4,3,
4,2,3,3,3,3,3,3,0,
5,0,3,3,3,3,3,3,0,
6,0,3,3,5,6,6,8,0,
7,0,3,1,5,6,6,8,0,
8,1,1,1,1,6,6,6,9,
9,0,0,1,3,5,5,8,3,
10,0,3,3,5,6,6,6,0,
11,1,1,1,1,1,1,1,9,
12,0,3,3,5,6,6,6,0,
13,0,0,0,0,0,0,0,3,
14,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,1,
22,99,99,99,99,99,99,99,99,
23,0,3,3,4,0,7,7,3,
24,0,3,4,5,5,7,7,3,
25,1,1,4,4,4,4,4,3,
26,0,3,3,5,4,7,7,3,
27,1,1,1,1,2,2,2,1,
28,1,1,1,1,1,1,1,9,
29,1,1,1,1,1,1,1,9,
30,0,0,4,4,4,4,4,3,
31,0,0,4,4,5,4,4,3,
32,1,1,4,4,4,4,4,3,
33,1,1,1,1,1,1,1,9,
34,1,1,4,1,4,4,4,9,
35,2,3,3,3,3,3,3,0,
36,1,1,1,1,1,1,1,9,
37,1,1,1,1,4,7,1,9,
38,1,1,1,1,1,1,1,9,
39,1,1,1,1,1,1,1,9,
40,0,3,4,5,5,5,5,4,
41,0,3,4,5,5,5,5,4,
42,0,3,4,5,5,5,5,4,
43,1,1,1,1,1,1,1,9,
44,1,1,1,1,1,1,1,9,
45,99,99,99,99,99,99,99,99,
46,99,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,1,9,
50,1,3,3,5,5,1,1,9,
51,1,1,1,1,1,1,1,9,
52,1,1,1,1,1,1,1,9,
53,1,1,1,1,1,1,1,9,
54,1,1,1,1,1,1,1,9,
55,99,99,99,99,99,99,99,99,
Modularity,0.14935780816272898,0.16855952454878764,0.16350333314335486,0.1807566750409266,0.17188954321049632,0.18143081331346653,0.18351480251738556,0.19951846790840402,
NMI,0.59270445286425644,0.64929673675710964,0.62576531167365468,0.71367500867648581,0.73601041601804007,0.77164620630074832,0.80025209609361814,1.0,
Silhoutte,0.21153163,0.24033808,0.22264169,0.26696339,0.29810599,0.33315518,0.33854744,0.33421484,
