,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,3,4,4,4,4,0,
1,0,3,4,4,6,6,0,
2,2,3,4,4,4,4,0,
3,1,1,1,1,1,1,1,
4,2,0,4,4,4,4,0,
5,1,2,4,4,4,4,0,
6,1,1,1,1,6,6,1,
7,1,1,1,1,1,1,1,
8,2,2,2,2,2,2,2,
9,2,2,3,4,4,7,1,
10,1,1,1,1,1,1,1,
11,2,2,2,1,2,2,2,
12,1,1,1,1,1,1,1,
13,1,1,1,1,1,1,1,
14,1,1,1,1,1,1,1,
15,1,1,1,1,1,1,1,
16,1,1,1,1,1,1,1,
17,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,
21,1,1,1,1,6,6,1,
22,1,1,1,1,1,1,1,
23,1,1,1,1,1,1,1,
24,1,2,2,2,2,2,1,
25,2,2,2,2,2,2,2,
26,1,1,1,1,1,1,1,
27,2,2,2,2,3,3,2,
28,2,3,4,3,3,3,2,
29,2,3,4,3,3,3,2,
30,0,3,3,3,3,1,2,
31,2,3,4,3,3,7,2,
32,2,3,4,3,3,7,2,
33,2,2,2,2,2,2,2,
34,2,2,2,2,2,2,2,
35,2,0,3,5,5,5,2,
36,2,2,2,5,5,5,2,
37,2,2,2,5,5,5,2,
38,2,2,2,2,2,2,2,
39,2,2,2,2,2,2,2,
40,2,2,2,2,2,2,2,
41,2,2,2,2,2,2,2,
42,2,2,2,2,2,2,2,
43,2,2,2,2,2,2,2,
44,2,2,2,2,2,2,2,
45,2,2,2,2,3,3,2,
46,1,1,1,1,1,1,1,
47,2,2,2,2,2,2,2,
48,2,2,2,2,2,2,2,
49,2,2,2,2,2,2,2,
50,2,3,4,3,3,3,2,
51,2,3,3,3,3,3,2,
52,2,3,3,3,3,3,2,
53,2,2,2,2,5,3,2,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.06806023620473572,0.06307427133588286,0.06852055515043243,0.07220380504333142,0.0692328263373643,0.06638255031477955,0.08601311493647307,
NMI,0.64962541042839939,0.55388536001471778,0.62279805295753843,0.63586381565827199,0.63349989979728027,0.57149038505296046,1.0,
Silhoutte,0.11682333,0.18736297,0.19573608,0.2554503,0.2366333,0.22969762,0.21563624,
