,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,2,3,3,5,6,5,5,5,2,
1,99,99,99,99,99,99,99,99,99,
2,1,1,0,5,6,5,5,5,2,
3,1,1,1,1,1,1,1,1,4,
4,1,1,4,5,6,5,5,5,2,
5,2,2,4,4,4,4,4,4,2,
6,2,2,2,2,2,2,2,2,1,
7,2,3,3,3,3,7,7,7,1,
8,2,2,2,2,2,7,7,7,1,
9,2,3,3,3,3,3,3,3,1,
10,2,2,2,2,2,7,7,9,1,
11,0,0,4,4,0,0,5,5,1,
12,2,3,3,3,3,3,3,3,1,
13,2,2,2,5,5,6,6,6,4,
14,0,0,4,4,4,4,4,4,2,
15,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,1,
20,2,3,3,3,3,3,3,3,1,
21,2,2,2,2,2,2,2,2,1,
22,2,3,3,3,3,3,3,3,1,
23,0,0,4,4,4,4,4,4,2,
24,1,1,1,1,1,1,1,1,4,
25,1,1,1,1,1,1,1,1,4,
26,0,2,2,5,5,6,6,6,4,
27,1,3,1,1,1,1,3,1,4,
28,2,3,3,3,3,3,3,3,1,
29,1,3,4,4,4,4,3,3,4,
30,2,3,3,3,3,3,3,3,1,
31,2,3,3,3,3,3,3,3,1,
32,2,3,3,3,3,3,3,3,1,
33,2,3,3,3,3,3,3,3,1,
34,2,3,3,3,3,3,3,3,1,
35,0,0,4,5,6,5,5,5,2,
36,1,1,1,1,1,1,1,1,4,
37,1,1,1,1,1,1,1,1,4,
38,1,1,1,1,1,1,1,1,4,
39,1,1,1,1,1,1,1,8,4,
40,1,1,1,1,1,1,1,1,4,
41,1,1,1,1,1,1,1,1,4,
42,99,99,99,99,99,99,99,99,99,
43,0,0,0,0,6,7,8,9,2,
44,1,1,1,1,1,1,1,1,4,
45,1,1,2,5,5,6,6,6,4,
46,1,1,4,1,1,1,1,1,1,
47,1,1,1,1,1,1,1,1,4,
48,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,4,
50,1,1,1,1,1,1,1,1,4,
51,1,1,1,1,5,6,6,6,4,
52,1,1,1,1,6,7,8,9,4,
53,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.12230571454366862,0.1181677363320121,0.11740377277175829,0.13537210456793658,0.13387102041761084,0.12754710597845195,0.12927255095269627,0.12151112007810018,0.14474146392152873,
NMI,0.50324391365239385,0.36988220592280385,0.56001563382409814,0.59935643396901506,0.64159498874840859,0.59015885673557322,0.55845680554472288,0.55073198487701125,1.0,
Silhoutte,0.17821544,0.160801,0.17214216,0.22185908,0.2522189,0.27455169,0.2776,0.21809179,0.20800342,
