,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,2,2,2,2,2,2,2,2,0,
1,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,0,
3,2,3,3,3,3,3,3,3,1,
4,2,2,2,2,2,2,2,2,0,
5,1,0,4,4,4,4,4,4,0,
6,2,2,3,3,6,2,2,2,0,
7,1,3,4,4,4,2,2,9,0,
8,0,3,4,4,4,4,4,9,0,
9,0,3,3,3,3,3,3,3,1,
10,0,3,4,4,4,4,4,4,0,
11,0,3,4,4,4,4,4,4,0,
12,1,3,4,4,4,4,4,4,0,
13,2,2,3,3,3,3,3,9,0,
14,2,2,2,2,2,7,7,7,0,
15,2,2,2,2,2,7,7,7,0,
16,2,2,2,2,2,7,7,7,0,
17,2,2,2,2,2,7,7,7,0,
18,2,2,2,2,2,7,7,7,0,
19,2,2,2,2,2,7,7,7,0,
20,2,2,2,2,2,7,7,7,0,
21,2,2,2,2,2,7,7,7,0,
22,1,1,1,1,1,1,1,1,2,
23,1,3,3,3,3,3,3,3,1,
24,1,3,3,3,3,3,3,3,1,
25,1,1,1,5,5,5,8,8,2,
26,2,2,2,2,2,7,7,7,0,
27,1,1,1,1,1,1,1,1,2,
28,1,1,1,5,5,1,5,5,2,
29,1,1,1,1,1,1,1,1,2,
30,1,1,1,5,5,5,5,5,2,
31,1,1,1,5,5,5,5,5,2,
32,1,1,1,5,5,5,5,5,2,
33,1,1,1,5,5,5,5,5,2,
34,1,1,1,5,5,5,5,5,2,
35,2,2,2,2,2,2,2,2,0,
36,1,1,1,1,1,1,1,1,2,
37,1,1,1,1,6,6,6,6,2,
38,1,1,1,1,6,6,6,6,2,
39,1,1,1,1,1,1,1,1,2,
40,1,1,4,1,1,1,1,1,2,
41,1,0,4,4,1,6,8,8,2,
42,1,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,1,1,2,
51,1,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,1,2,
54,1,1,1,1,1,1,1,1,2,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.133582408228342,0.17377767602832053,0.15839968827649129,0.16171941317988237,0.15945469610989083,0.17168586441577385,0.17206597297859486,0.16494361897806264,0.2007905097815022,
NMI,0.53325713528220953,0.75638144546150721,0.71165404331548077,0.67123811068881123,0.68137909452939371,0.67617027949421393,0.66102503662357603,0.68123406771746509,1.0,
Silhoutte,0.13707225,0.19119268,0.1960508,0.15574865,0.18591617,0.30891309,0.3133137,0.32534354,0.18250934,
