,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,0,4,5,5,5,5,5,2,
1,1,1,1,4,4,4,4,4,2,
2,0,0,0,4,4,0,0,9,2,
3,1,1,1,1,1,1,1,1,1,
4,0,0,4,5,5,5,5,5,2,
5,1,1,4,5,5,5,5,5,2,
6,1,1,1,1,1,1,1,1,1,
7,1,1,1,1,1,1,1,1,1,
8,0,3,4,4,4,7,7,7,3,
9,2,2,4,4,4,4,4,9,1,
10,1,1,1,1,1,1,1,1,1,
11,1,1,1,1,1,1,1,1,1,
12,1,1,1,1,1,1,1,1,1,
13,1,1,1,1,1,1,1,1,1,
14,2,3,3,3,3,3,3,3,0,
15,2,3,3,3,3,3,3,3,0,
16,1,3,3,3,3,3,3,3,0,
17,2,3,3,3,3,3,3,3,0,
18,2,3,3,3,3,3,3,3,0,
19,1,3,3,3,3,3,3,3,0,
20,1,3,3,3,3,3,3,3,0,
21,1,3,3,5,5,5,5,9,0,
22,2,3,3,3,3,3,3,3,0,
23,1,1,1,1,1,1,1,1,1,
24,1,1,1,1,1,1,1,1,1,
25,2,2,2,2,2,2,2,2,3,
26,1,3,3,3,3,3,3,3,0,
27,1,1,1,1,1,1,1,1,1,
28,1,1,1,1,1,1,1,1,3,
29,2,2,2,2,2,2,2,2,3,
30,0,0,4,4,4,4,4,4,2,
31,0,0,4,4,4,4,4,4,2,
32,0,0,4,4,4,4,4,4,2,
33,2,2,2,2,2,2,2,2,3,
34,2,0,4,4,4,4,4,4,3,
35,1,1,4,5,5,5,8,8,3,
36,0,0,4,4,4,7,7,7,3,
37,2,2,2,2,2,2,2,2,3,
38,2,2,2,2,2,2,2,2,3,
39,2,2,2,2,2,2,2,2,3,
40,2,2,2,2,6,6,6,6,3,
41,2,2,2,5,6,6,6,6,3,
42,2,2,2,2,6,6,6,6,3,
43,2,2,2,2,6,6,6,6,3,
44,2,2,2,2,2,2,2,2,3,
45,2,2,2,2,2,2,2,2,3,
46,1,1,1,1,1,1,1,1,1,
47,0,0,4,5,2,5,0,0,3,
48,2,2,2,2,2,2,2,2,3,
49,2,2,2,2,2,2,2,2,3,
50,1,1,1,1,1,1,1,1,1,
51,2,2,4,5,6,7,7,7,3,
52,1,1,1,1,1,1,8,8,1,
53,2,2,4,2,2,5,8,8,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.09917551637771199,0.141904534617509,0.1422310706802587,0.14732627737889054,0.14196367191983417,0.13663904844215446,0.13264311852029206,0.1301279876578701,0.16561014466604937,
NMI,0.40393489232858132,0.63831276805359416,0.68614042411278242,0.65574281431601311,0.66562806110579686,0.64532169184281074,0.64209366711507376,0.66745059019628528,1.0,
Silhoutte,0.1250059,0.19771562,0.20109415,0.22262784,0.21786534,0.25190142,0.24941894,0.23961574,0.19866231,
