,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,3,2,2,6,6,3,0,
1,1,1,1,1,1,1,1,4,
2,1,3,2,2,6,6,3,0,
3,1,1,1,1,5,1,6,12,
4,1,3,2,2,6,6,3,0,
5,2,2,2,2,6,6,3,0,
6,0,3,3,3,3,3,5,4,
7,2,3,3,3,3,3,6,4,
8,2,3,3,3,3,3,1,12,
9,0,0,0,5,5,5,8,0,
10,2,2,4,4,4,4,4,0,
11,2,2,4,4,4,4,4,0,
12,2,2,4,4,4,4,4,0,
13,1,3,1,5,5,5,8,0,
14,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,1,
16,2,2,3,5,3,5,5,1,
17,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,1,
20,2,2,2,5,2,7,7,1,
21,1,3,3,3,1,3,1,4,
22,99,99,99,99,99,99,99,99,
23,1,1,1,1,3,3,8,12,
24,1,1,1,1,1,1,1,12,
25,99,99,99,99,99,99,99,99,
26,0,3,3,3,3,6,5,4,
27,1,1,1,1,1,1,1,12,
28,1,1,1,1,1,1,1,12,
29,1,1,1,1,1,1,1,12,
30,1,1,1,5,5,7,7,0,
31,0,0,4,5,5,7,7,0,
32,1,1,1,1,5,1,7,0,
33,1,1,1,1,1,1,1,12,
34,99,99,99,99,99,99,99,99,
35,1,3,2,2,6,6,3,0,
36,99,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,99,
38,2,1,3,5,3,3,5,12,
39,1,1,1,1,1,1,6,12,
40,1,1,1,1,1,1,1,12,
41,1,1,1,1,1,1,1,12,
42,99,99,99,99,99,99,99,99,
43,1,1,1,1,6,6,6,12,
44,1,1,1,1,3,1,6,12,
45,1,1,1,1,1,1,6,12,
46,99,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,
49,1,1,1,1,5,1,6,12,
50,99,99,99,99,99,99,99,99,
51,1,1,1,1,1,1,1,12,
52,2,2,4,4,4,4,4,0,
53,1,1,1,1,1,1,1,12,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.0901544318405063,0.1282680340383296,0.14628619134638193,0.1418544187936812,0.12656831660696163,0.12116619279305135,0.12383982503608333,0.16332966060008242,
NMI,0.30996510242843317,0.51615512438057987,0.51297685275088822,0.53541752595379977,0.54680971770188014,0.53004895911067407,0.56313531183745413,1.0,
Silhoutte,0.26018056,0.27791741,0.34432715,0.34994558,0.34879403,0.36771234,0.36543201,0.32488274,
