,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,2,2,2,2,2,2,2,2,2,0,
1,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,0,
3,0,3,3,3,3,3,3,3,3,4,
4,2,2,2,2,2,2,2,4,10,0,
5,0,0,2,2,0,0,8,8,10,0,
6,2,2,2,2,2,2,2,2,2,0,
7,2,2,2,2,2,2,2,2,2,0,
8,0,0,0,0,6,7,7,7,7,0,
9,0,3,3,3,5,5,5,5,5,4,
10,2,2,2,2,6,6,6,6,6,0,
11,1,1,1,1,6,6,6,6,6,8,
12,2,2,2,2,2,2,2,2,2,0,
13,0,3,3,5,5,5,5,5,5,4,
14,1,3,3,5,5,5,5,5,5,4,
15,2,2,4,4,4,4,4,4,4,1,
16,0,0,4,0,6,0,0,0,10,1,
17,2,2,4,4,4,4,4,4,4,1,
18,2,2,4,4,4,4,4,4,4,1,
19,2,2,4,4,4,4,4,4,4,1,
20,1,1,4,4,4,4,4,4,4,1,
21,1,1,4,4,4,4,4,4,4,1,
22,99,99,99,99,99,99,99,99,99,99,
23,0,0,0,5,5,5,5,5,5,4,
24,1,1,1,5,5,5,5,5,5,8,
25,99,99,99,99,99,99,99,99,99,99,
26,2,1,0,5,5,5,5,5,5,1,
27,1,1,1,1,1,1,1,9,1,8,
28,1,1,1,1,1,1,1,1,1,8,
29,1,1,1,1,1,1,1,1,1,8,
30,0,3,3,3,3,3,3,3,3,4,
31,0,3,3,3,3,3,3,3,3,4,
32,1,3,3,3,3,3,3,3,3,4,
33,1,1,1,1,1,1,1,1,1,8,
34,99,99,99,99,99,99,99,99,99,99,
35,2,2,2,2,2,2,2,2,10,0,
36,1,1,1,1,6,7,7,7,7,8,
37,0,3,4,4,4,4,8,8,8,8,
38,1,1,4,4,1,1,8,8,8,8,
39,1,1,1,1,1,1,1,1,1,8,
40,1,1,1,1,1,1,1,1,1,8,
41,99,99,99,99,99,99,99,99,99,99,
42,99,99,99,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,1,1,1,8,
44,1,1,1,1,1,1,1,1,1,8,
45,1,1,1,1,1,6,1,1,1,8,
46,0,3,4,4,4,4,8,8,8,8,
47,99,99,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,1,1,1,8,
50,1,1,1,1,1,1,1,1,1,8,
51,1,1,1,1,1,1,1,1,1,8,
52,1,1,1,1,1,1,1,9,9,8,
53,1,1,1,1,1,1,1,1,1,8,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12660069336377022,0.14902334244048657,0.20566020595406367,0.20263872994342955,0.19511005732805653,0.18826098768937696,0.19018096523371975,0.1676471723979034,0.1784856621597358,0.2283538834878972,
NMI,0.474864077271341,0.59862283799591354,0.79406155804865175,0.72357803100122986,0.65131298696693984,0.63818222931756285,0.68078102871042812,0.6229708863020248,0.65897017699567928,1.0,
Silhoutte,0.19977108,0.21383428,0.29766885,0.30268916,0.31812108,0.32306542,0.36080705,0.33000536,0.37915176,0.31368302,
