,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,2,2,4,4,4,4,4,4,4,
1,1,1,1,5,6,6,6,6,1,
2,0,0,4,4,4,4,4,4,4,
3,1,1,1,5,6,6,6,6,1,
4,2,2,4,4,4,4,4,4,4,
5,1,1,4,1,6,6,8,8,1,
6,1,1,4,5,6,6,6,6,1,
7,1,1,4,5,6,6,6,6,1,
8,0,0,3,5,6,6,6,6,1,
9,0,0,0,4,5,5,5,5,1,
10,1,1,1,5,6,7,8,8,1,
11,99,99,99,99,99,99,99,99,99,
12,1,1,1,1,1,1,8,8,1,
13,1,1,1,4,5,7,7,7,1,
14,1,1,1,1,1,1,1,1,1,
15,1,1,1,1,1,1,1,1,1,
16,1,1,1,1,1,1,8,1,1,
17,1,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,1,1,
22,99,99,99,99,99,99,99,99,99,
23,0,0,0,4,5,5,5,5,1,
24,1,3,3,5,5,5,5,5,1,
25,0,0,0,0,0,7,7,7,1,
26,1,1,1,1,1,1,1,1,1,
27,2,2,2,2,2,2,2,2,7,
28,2,2,2,2,2,2,2,2,7,
29,2,2,2,2,2,2,2,2,7,
30,0,3,3,3,3,3,3,3,7,
31,0,3,3,3,3,3,3,3,7,
32,2,3,3,3,3,3,3,3,7,
33,0,3,3,3,3,3,3,3,7,
34,99,99,99,99,99,99,99,99,99,
35,0,0,4,4,4,4,4,4,4,
36,99,99,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,99,99,
38,2,2,2,2,2,2,2,2,7,
39,2,2,2,2,2,2,2,2,7,
40,2,2,2,2,2,2,2,9,7,
41,2,2,2,2,2,2,2,9,7,
42,2,2,2,2,2,2,2,9,7,
43,0,0,4,4,5,7,7,7,1,
44,99,99,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,99,99,
46,2,2,2,2,2,2,8,8,7,
47,99,99,99,99,99,99,99,99,99,
48,2,2,2,2,2,2,2,2,7,
49,2,2,2,2,2,2,2,2,7,
50,2,2,2,2,2,2,2,2,7,
51,2,2,2,2,2,2,2,2,7,
52,2,2,2,2,2,2,2,2,7,
53,2,2,2,2,2,2,2,2,7,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.14952943147482778,0.14701655899529376,0.14493285554775148,0.15781141839404048,0.16368750746215058,0.16321630877530116,0.15906740541177794,0.1379428507812071,0.18477815179933535,
NMI,0.56804595060665997,0.59678280549228302,0.61710985397805163,0.66213881468070046,0.730284380660014,0.72095215232055698,0.65133564516675158,0.63223830428161765,1.0,
Silhoutte,0.28702322,0.28465566,0.31618521,0.3241625,0.36577786,0.37143032,0.38211737,0.38974687,0.33555232,
