,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,4,2,4,4,4,4,0,0
1,2,2,2,4,6,6,6,6,0,1
2,2,2,4,2,4,4,4,4,0,0
3,2,3,4,5,5,5,5,5,2,2
4,2,2,4,2,4,4,4,4,0,0
5,2,2,4,4,4,4,4,4,0,3
6,0,0,3,4,6,6,6,6,0,1
7,0,0,3,4,2,2,8,9,0,4
8,0,0,0,2,4,4,8,9,0,4
9,2,3,4,5,5,5,5,5,2,2
10,0,3,4,5,6,6,6,6,0,1
11,2,2,2,2,4,4,2,8,0,3
12,0,0,3,4,6,6,6,6,0,1
13,2,3,4,5,5,5,5,5,2,2
14,2,2,2,4,2,2,2,2,2,5
15,2,2,2,4,2,2,2,2,2,5
16,1,1,3,3,1,7,7,7,4,6
17,2,2,2,4,2,2,2,2,2,5
18,2,2,2,4,2,2,2,2,2,5
19,2,2,2,4,2,2,2,2,2,5
20,2,2,2,4,2,2,2,2,2,5
21,1,1,3,1,6,6,6,6,0,1
22,99,99,99,99,99,99,99,99,99,99
23,2,3,4,5,5,5,5,5,2,2
24,0,3,4,5,5,5,5,5,2,2
25,1,3,1,5,5,5,5,5,4,6
26,2,2,2,4,2,2,2,2,2,5
27,99,99,99,99,99,99,99,99,99,99
28,1,1,1,1,1,1,1,1,4,7
29,1,1,1,1,1,1,1,1,4,7
30,1,3,3,3,3,3,3,3,5,8
31,0,3,3,3,3,3,3,3,5,8
32,0,3,3,3,3,3,3,3,5,8
33,0,3,3,3,3,3,3,3,5,8
34,1,1,1,1,1,1,1,1,4,7
35,2,2,4,2,4,4,4,4,0,0
36,99,99,99,99,99,99,99,99,99,99
37,99,99,99,99,99,99,99,99,99,99
38,1,1,1,1,1,1,1,1,4,7
39,1,1,1,1,1,1,1,1,4,7
40,1,1,1,1,1,1,1,1,4,7
41,1,1,1,1,1,1,1,1,4,7
42,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,4,7
44,1,1,1,1,1,1,1,1,4,7
45,99,99,99,99,99,99,99,99,99,99
46,0,1,3,3,6,7,7,7,4,6
47,99,99,99,99,99,99,99,99,99,99
48,1,1,1,1,1,7,7,7,4,6
49,2,2,2,4,4,4,4,4,0,6
50,1,1,1,1,1,1,1,1,4,7
51,1,1,1,1,1,1,1,1,4,7
52,0,0,0,0,0,0,8,8,0,3
53,1,1,1,1,1,1,1,1,4,6
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.17241626905143312,0.20863718686698754,0.17620875909026615,0.19066557235617618,0.23403290400619572,0.22792901033138385,0.22211669092534753,0.23129851946455382,0.265402291451982,0.21450215308517667
NMI,0.50271016809741043,0.55210073130151338,0.55764722614716511,0.5710751769355048,0.73276895069414816,0.74228807101871686,0.73186179129377993,0.75774365468343341,1.0,0.75005131492011345
