,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,2,3,3,6,2,2,0,
1,2,2,3,3,6,2,2,0,
2,2,2,3,3,6,2,2,0,
3,0,3,3,3,3,3,3,1,
4,2,2,3,3,6,2,2,0,
5,1,2,3,5,5,5,5,0,
6,1,2,3,3,6,2,2,0,
7,1,2,3,5,5,2,2,0,
8,0,0,4,5,5,5,8,0,
9,0,3,3,3,3,3,3,1,
10,2,2,3,5,5,5,5,0,
11,2,2,3,5,5,5,5,0,
12,1,2,3,5,5,5,5,0,
13,1,1,1,5,3,3,3,0,
14,2,2,2,2,2,7,7,0,
15,2,3,2,2,2,7,7,0,
16,2,3,2,2,2,7,7,0,
17,2,3,2,2,2,7,7,0,
18,2,3,2,2,2,7,7,0,
19,2,3,2,2,2,7,7,0,
20,2,3,2,2,2,7,7,0,
21,2,3,2,2,2,7,7,0,
22,1,1,1,1,1,1,1,2,
23,0,3,3,3,3,3,3,1,
24,0,3,3,3,3,3,3,1,
25,1,1,1,1,1,1,1,0,
26,1,1,1,2,2,7,7,0,
27,1,1,1,1,1,1,1,2,
28,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,2,
30,0,3,4,4,4,4,4,1,
31,0,3,4,4,4,4,4,1,
32,0,3,4,4,4,4,4,1,
33,1,3,4,4,4,4,4,1,
34,1,3,4,4,4,4,4,1,
35,2,2,3,3,6,2,2,0,
36,1,1,1,1,1,1,1,2,
37,1,1,4,4,6,6,6,2,
38,1,1,4,1,6,6,6,2,
39,1,1,1,1,1,1,1,2,
40,1,1,1,1,1,1,1,2,
41,1,1,1,1,1,0,6,2,
42,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,2,
50,1,3,4,4,4,4,4,1,
51,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,2,
54,1,1,1,1,1,1,1,2,
55,99,99,99,99,99,99,99,99,
Modularity,0.13178661315892867,0.1871679560663763,0.19828694883606748,0.2104354865231648,0.21706360156972543,0.21599613750512284,0.21355792912552363,0.24613865233413074,
NMI,0.51670970218977919,0.6139950320464781,0.50122232757234098,0.6347625209965323,0.6422812985354226,0.67501187047259026,0.67299825955731063,1.0,
Silhoutte,0.10031237,0.08375458,0.19409381,0.24192551,0.32047172,0.38114705,0.35842867,0.18902416,
