,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,2,2,4,5,5,5,5,5,1,
1,99,99,99,99,99,99,99,99,99,
2,2,2,4,5,5,5,5,5,1,
3,1,1,4,4,4,4,4,4,2,
4,2,2,4,5,5,5,5,5,1,
5,0,3,3,3,3,3,3,3,1,
6,1,1,1,1,1,1,1,1,2,
7,1,1,3,1,1,3,3,7,2,
8,1,1,1,1,1,7,1,7,2,
9,1,3,4,4,4,4,4,4,2,
10,2,2,1,1,1,1,1,1,2,
11,0,3,0,0,5,7,8,8,2,
12,1,1,1,1,1,1,1,1,2,
13,1,1,1,5,6,6,6,6,1,
14,0,3,3,3,3,3,3,3,1,
15,1,1,1,1,1,1,1,1,2,
16,1,1,1,1,1,1,1,1,2,
17,1,1,1,1,1,1,1,1,2,
18,1,1,1,1,1,1,1,1,2,
19,1,1,1,1,1,1,1,1,2,
20,1,1,4,4,4,4,4,4,2,
21,1,1,1,1,1,1,1,1,2,
22,1,3,4,4,4,4,4,4,1,
23,0,3,3,3,3,3,3,3,1,
24,2,2,2,2,2,2,2,2,3,
25,2,2,2,2,2,2,2,2,3,
26,0,0,1,5,6,6,6,6,1,
27,2,3,3,3,3,3,3,3,1,
28,1,3,4,4,4,4,4,4,2,
29,2,3,3,3,3,3,3,3,1,
30,1,1,4,4,4,4,4,4,2,
31,1,1,4,4,4,4,4,4,2,
32,1,1,4,4,4,4,4,4,2,
33,1,1,4,4,4,4,4,4,2,
34,1,1,4,4,4,4,4,4,2,
35,0,3,3,5,5,5,5,5,1,
36,2,2,2,2,2,7,7,7,3,
37,2,2,2,2,2,7,7,9,3,
38,2,2,2,2,2,7,7,9,3,
39,2,2,2,2,2,2,7,9,3,
40,2,2,2,2,2,2,2,2,3,
41,2,2,2,2,2,2,2,2,3,
42,2,2,2,2,2,2,2,2,3,
43,0,0,0,0,0,5,0,7,1,
44,2,2,2,2,2,2,2,2,3,
45,0,3,3,5,6,6,6,6,1,
46,1,3,3,3,3,1,8,8,2,
47,2,2,2,2,2,7,7,7,3,
48,2,2,2,2,2,2,2,2,3,
49,2,2,2,2,2,2,2,2,3,
50,2,2,2,2,2,2,6,6,3,
51,2,3,3,3,3,3,3,3,1,
52,2,2,2,2,5,3,2,2,3,
53,2,2,2,2,2,2,7,9,3,
54,0,0,0,0,0,2,0,0,1,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.14831448257099655,0.1478361312430726,0.15416888038954651,0.1702213255787611,0.1658885519709069,0.1514450420391695,0.15201028085827795,0.14379086927888318,0.1927798590607428,
NMI,0.55776693807664357,0.5515201858677411,0.55413608335337283,0.69271744333766294,0.62982997853447265,0.5497628433937557,0.62239359650634285,0.58061381123054978,1.0,
Silhoutte,0.12722253,0.12989696,0.15319373,0.21534829,0.24500278,0.21141787,0.25482304,0.24141146,0.17483874,
