,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,1,3,3,3,3,3,3,2,
1,1,3,3,3,3,3,3,2,
2,99,99,99,99,99,99,99,99,
3,2,2,4,4,4,4,4,2,
4,1,3,3,3,3,3,3,2,
5,0,0,0,0,6,6,2,2,
6,0,3,3,3,6,6,6,2,
7,2,2,4,4,2,2,2,2,
8,2,2,2,2,2,2,2,2,
9,99,99,99,99,99,99,99,99,
10,2,2,3,3,3,3,3,2,
11,2,2,2,2,2,7,7,4,
12,2,2,3,3,3,3,3,2,
13,2,2,4,4,4,4,4,2,
14,2,2,4,4,4,2,2,2,
15,2,2,2,2,2,2,2,2,
16,2,2,2,2,2,2,2,2,
17,2,2,2,2,2,2,2,2,
18,2,2,2,2,2,2,2,2,
19,2,2,2,2,2,2,2,2,
20,0,3,2,2,6,6,6,2,
21,2,3,3,3,3,2,2,2,
22,2,2,2,2,6,6,6,2,
23,0,0,4,4,4,4,4,2,
24,2,2,4,4,4,4,4,2,
25,2,2,2,2,2,7,7,2,
26,1,1,1,1,1,1,1,3,
27,1,1,1,1,1,1,1,3,
28,1,2,2,2,2,7,7,2,
29,1,1,1,1,1,1,1,3,
30,1,1,1,1,1,7,7,3,
31,2,2,2,2,2,7,7,4,
32,2,2,2,2,2,7,7,4,
33,1,1,1,1,1,1,1,3,
34,1,1,1,1,1,7,7,3,
35,0,3,3,3,3,3,3,3,
36,1,1,2,5,5,5,5,3,
37,1,1,1,1,1,1,1,3,
38,0,0,0,5,5,5,5,3,
39,1,1,4,5,5,5,5,3,
40,2,3,3,5,5,5,8,3,
41,2,2,3,5,5,5,8,3,
42,2,3,3,5,5,5,8,3,
43,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,3,
45,1,2,2,2,2,7,7,4,
46,1,1,1,1,1,7,7,3,
47,1,1,1,1,1,1,1,3,
48,1,1,2,2,2,7,7,4,
49,1,1,1,1,2,7,7,4,
50,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,3,
52,0,0,1,1,1,2,2,3,
53,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.06711319096325305,0.08849907867036802,0.09750040613102498,0.10724985227467655,0.09689304131096839,0.09334954559955205,0.09716067493748312,0.12393825879523852,
NMI,0.18978756500206614,0.38015008174997983,0.35589663628658874,0.52966958444916312,0.56810077854667773,0.47927318473835434,0.47049193902725045,1.0,
Silhoutte,0.13915404,0.19189749,0.15938924,0.18966341,0.20469298,0.23846563,0.26665421,0.06814178,
