,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,0,4,4,4,4,4,4,4,2,0
1,0,0,0,5,5,5,5,5,5,3,1
2,2,3,3,3,3,3,3,3,3,1,2
3,2,2,4,2,3,2,6,6,6,3,3
4,0,0,4,4,4,4,4,4,4,2,0
5,2,2,4,4,2,2,6,6,6,0,1
6,2,2,4,4,2,2,6,6,6,0,1
7,2,2,4,4,2,2,6,6,6,0,1
8,0,3,3,5,5,7,7,7,7,3,4
9,0,3,3,3,3,7,7,7,7,1,1
10,2,2,4,4,2,2,6,6,6,0,1
11,2,2,4,4,2,2,6,6,6,0,1
12,2,2,4,4,2,2,6,6,6,0,1
13,2,2,4,2,2,7,7,8,8,3,1
14,1,1,1,1,1,1,1,1,1,0,5
15,1,1,1,1,1,1,1,1,1,0,5
16,1,1,1,1,1,1,1,1,1,0,5
17,1,1,1,1,1,1,1,1,1,0,5
18,1,1,1,1,1,1,1,1,1,0,5
19,1,1,1,1,1,1,1,1,1,0,5
20,1,1,1,1,1,1,1,1,1,0,5
21,1,1,1,1,1,1,1,1,1,0,5
22,1,1,1,1,1,1,1,1,1,0,5
23,2,2,2,2,6,6,2,2,2,3,3
24,2,2,4,4,2,2,6,6,6,0,1
25,1,1,1,1,1,1,1,1,1,0,5
26,0,0,0,5,5,0,8,8,8,3,1
27,2,2,2,2,6,6,6,6,6,3,3
28,2,2,2,2,6,6,2,2,2,3,3
29,1,1,2,2,6,6,2,2,2,3,3
30,2,3,3,3,3,3,3,3,3,1,2
31,2,3,3,3,3,3,3,3,3,1,2
32,0,3,3,3,3,3,3,3,3,1,2
33,2,3,3,3,3,3,3,3,3,1,2
34,1,2,2,2,6,6,2,2,2,3,3
35,0,0,4,4,4,4,4,4,4,2,0
36,0,3,3,5,5,7,7,7,7,3,4
37,2,0,0,0,0,7,7,8,8,3,4
38,1,1,2,2,6,6,2,2,2,3,4
39,0,0,0,0,0,7,7,9,9,3,4
40,1,1,4,5,5,5,5,5,5,3,6
41,2,0,0,5,5,5,5,5,5,3,6
42,2,0,4,5,5,5,5,5,5,3,6
43,1,1,0,5,5,5,5,5,5,3,6
44,1,1,2,2,6,6,2,2,2,3,4
45,1,3,0,0,0,0,7,7,7,3,4
46,1,1,2,2,6,6,2,9,9,3,4
47,1,1,4,5,5,7,7,7,7,3,4
48,0,0,1,1,6,6,4,4,4,2,1
49,1,1,2,2,6,6,2,2,2,3,4
50,1,1,2,2,6,6,2,2,2,3,3
51,1,1,2,2,6,6,8,8,8,3,3
52,0,2,4,4,4,4,8,9,9,0,1
53,1,3,3,4,6,7,7,9,9,3,4
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.08100375245694508,0.10932306002136573,0.1443389191577571,0.1808199973488634,0.18366266206908016,0.18063349016615224,0.1781882329475301,0.17167183417203827,0.17167183417203827,0.2020561241543865,0.18407257628069731
NMI,0.19438353625269042,0.37905351738552606,0.50723314394403007,0.64846562413396469,0.64160438868151126,0.62217616305785051,0.63999203454531839,0.62354484851547443,0.62354484851547443,1.0,0.62262554160834382
