,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,2,4,4,4,4,4,4,
1,1,1,1,1,1,6,6,1,
2,1,3,4,4,4,4,4,4,
3,1,1,1,5,5,5,5,1,
4,2,2,4,4,4,4,4,4,
5,1,1,1,1,1,1,1,1,
6,1,1,1,1,6,6,6,1,
7,1,1,1,1,6,6,6,1,
8,1,1,1,1,6,6,6,1,
9,0,0,4,5,5,5,5,1,
10,1,1,1,1,1,1,1,1,
11,99,99,99,99,99,99,99,99,
12,1,1,1,1,1,1,1,1,
13,1,1,4,5,5,5,5,1,
14,1,1,1,5,5,5,5,1,
15,1,1,1,1,1,1,1,1,
16,1,1,1,1,1,1,1,1,
17,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,1,
22,99,99,99,99,99,99,99,99,
23,0,3,4,5,5,5,5,1,
24,1,3,4,5,5,5,5,1,
25,0,3,4,4,6,7,7,1,
26,1,1,1,1,1,1,1,1,
27,2,2,2,2,2,2,2,9,
28,2,2,2,2,2,2,2,9,
29,2,2,2,2,2,2,2,9,
30,0,3,3,3,3,3,3,9,
31,0,3,3,3,3,3,3,9,
32,2,3,3,3,3,6,8,9,
33,0,3,3,3,3,3,3,9,
34,99,99,99,99,99,99,99,99,
35,0,0,4,4,4,4,4,4,
36,99,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,99,
38,2,2,2,2,2,2,2,9,
39,2,2,2,2,2,2,2,9,
40,2,2,2,2,2,6,8,9,
41,2,2,2,2,2,6,8,9,
42,2,2,2,2,2,6,8,9,
43,1,1,4,4,6,7,7,1,
44,99,99,99,99,99,99,99,99,
45,99,99,99,99,99,99,99,99,
46,2,2,2,2,2,2,2,9,
47,99,99,99,99,99,99,99,99,
48,2,2,2,2,2,2,2,9,
49,2,2,2,2,2,2,2,9,
50,2,2,2,2,2,2,2,9,
51,2,2,2,2,2,2,2,9,
52,2,2,2,2,2,2,2,9,
53,2,2,2,2,2,2,2,9,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.1327346616354237,0.12597062054844926,0.1424841129489833,0.1440771928810839,0.13386977109734968,0.10809503111578397,0.11636908361010924,0.1567900400364346,
NMI,0.56618671447979341,0.5672101160724069,0.71591227088099452,0.72054876937118606,0.74894259052104373,0.6249306170981036,0.69562334905074863,1.0,
Silhoutte,0.30387309,0.28795499,0.32769873,0.319772,0.33178788,0.31856874,0.36521568,0.33493309,
