,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,3,2,2,6,6,6,6,0,
1,0,0,0,5,5,5,5,5,1,
2,2,2,2,2,6,6,6,6,0,
3,2,2,4,4,4,4,4,4,1,
4,0,2,2,2,6,6,6,6,0,
5,2,2,2,2,2,2,2,2,0,
6,1,0,0,5,5,5,5,5,1,
7,1,1,1,5,5,5,5,5,1,
8,2,1,1,1,1,1,8,8,2,
9,2,2,4,4,4,4,4,4,1,
10,2,2,4,4,4,4,4,4,1,
11,2,2,4,4,4,4,4,4,1,
12,2,2,2,2,2,2,2,2,0,
13,2,2,4,4,4,4,4,4,1,
14,2,2,2,2,4,4,4,4,0,
15,2,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,2,0,
21,2,2,2,2,2,2,2,2,0,
22,2,2,2,2,2,2,2,2,0,
23,0,3,3,3,3,3,3,3,3,
24,0,3,3,3,3,3,3,3,3,
25,0,0,3,3,3,3,3,3,3,
26,0,3,3,3,3,3,3,3,3,
27,2,2,2,2,2,1,2,2,0,
28,1,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,1,2,
30,1,1,1,1,1,7,7,7,2,
31,0,0,0,0,0,7,7,7,3,
32,0,0,0,0,0,7,7,7,3,
33,2,2,2,2,2,2,2,2,0,
34,1,1,1,1,1,1,1,7,2,
35,1,1,4,4,6,6,6,6,2,
36,1,1,1,1,1,1,8,8,2,
37,1,1,1,1,1,1,1,1,2,
38,2,3,3,3,3,3,1,1,2,
39,1,1,1,1,1,1,1,1,2,
40,2,2,4,5,5,7,7,9,3,
41,2,2,2,5,5,7,7,9,3,
42,2,2,0,5,5,7,7,9,3,
43,1,3,3,3,3,3,3,3,3,
44,1,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,8,2,
48,1,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,1,2,
50,2,3,3,3,3,3,3,3,3,
51,1,1,1,1,1,1,1,1,2,
52,1,1,2,2,1,1,1,1,0,
53,1,1,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.07388742949845767,0.10715957928000631,0.10713415730783364,0.12811648269115222,0.12721881618969094,0.12399296270810847,0.11715455724652853,0.11607911385069183,0.1373802740988544,
NMI,0.3459678646938289,0.51305809445723571,0.6940879898566561,0.79105200192906611,0.67987243559560817,0.66372866763106064,0.70763136726721299,0.68466444319576225,1.0,
Silhoutte,0.07441084,0.12686401,0.1605913,0.20981717,0.26338848,0.2771799,0.26559838,0.31189216,0.17473413,
