,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,3,3,3,3,3,1,
1,2,3,3,3,3,6,1,
2,99,99,99,99,99,99,99,
3,1,1,4,3,3,6,3,
4,2,3,3,3,3,3,1,
5,1,1,1,1,1,1,3,
6,0,3,3,3,5,5,1,
7,1,1,1,1,1,1,3,
8,1,1,1,1,1,1,3,
9,99,99,99,99,99,99,99,
10,1,1,1,1,1,1,3,
11,1,1,1,1,1,1,3,
12,1,1,1,1,1,1,3,
13,1,1,1,1,1,1,3,
14,1,1,1,1,1,1,3,
15,1,1,1,1,1,1,3,
16,1,1,1,1,1,1,3,
17,1,1,1,1,1,1,3,
18,1,1,1,1,1,1,3,
19,1,1,1,1,1,1,3,
20,1,1,1,1,1,1,3,
21,1,1,1,1,1,1,3,
22,1,1,1,1,1,1,3,
23,2,2,4,3,3,6,3,
24,0,0,4,5,4,4,4,
25,2,2,4,3,4,4,4,
26,2,2,2,2,2,2,4,
27,2,2,2,2,2,2,4,
28,1,1,1,1,1,1,3,
29,2,2,2,2,2,2,4,
30,2,2,2,2,2,2,4,
31,2,2,2,1,1,1,4,
32,1,1,1,1,1,1,4,
33,2,2,2,2,2,2,4,
34,2,2,2,2,2,2,4,
35,0,3,3,3,3,3,1,
36,1,1,1,1,1,1,3,
37,0,3,4,4,6,7,4,
38,2,3,4,4,6,7,4,
39,2,2,2,2,6,7,4,
40,1,1,1,5,5,5,4,
41,1,1,1,5,5,5,4,
42,1,3,3,5,5,5,4,
43,2,2,2,2,2,2,4,
44,2,2,2,2,2,2,4,
45,2,2,2,2,2,2,4,
46,2,2,2,2,2,2,4,
47,2,3,4,4,6,7,4,
48,2,2,2,2,2,2,4,
49,2,2,2,2,2,2,4,
50,2,2,2,2,2,4,4,
51,2,2,2,2,2,2,4,
52,2,2,2,2,2,2,4,
53,2,2,2,2,2,2,4,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.10825649590426958,0.12138051437745949,0.12266250639522383,0.13615655797706194,0.13394500822702865,0.12590515675484998,0.1605811828802604,
NMI,0.45648808055052181,0.55909640135650596,0.58726295800833372,0.58937659364866946,0.58446898391061353,0.5931529740320538,1.0,
Silhoutte,0.20086428,0.22110734,0.30686963,0.3649812,0.32967006,0.32883196,0.29021558,
