,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,0,0,0,0,6,6,6,3,
1,99,99,99,99,99,99,99,99,
2,0,0,0,0,6,6,6,3,
3,1,1,1,1,1,1,1,6,
4,1,1,1,4,6,6,6,3,
5,2,2,2,5,5,5,5,3,
6,2,2,2,2,2,2,2,2,
7,2,0,4,4,4,4,4,3,
8,0,0,4,4,4,4,4,3,
9,0,3,3,3,3,3,3,2,
10,0,2,2,4,4,4,4,3,
11,0,0,0,0,0,0,0,3,
12,2,2,2,2,2,2,2,2,
13,2,0,4,4,6,7,7,1,
14,0,0,4,5,5,5,5,3,
15,2,2,2,2,2,2,2,2,
16,2,2,2,2,2,2,2,2,
17,2,2,2,2,2,2,2,2,
18,2,2,2,2,2,2,2,2,
19,2,2,2,2,2,2,2,2,
20,2,3,3,3,3,3,3,2,
21,2,2,2,2,2,2,2,2,
22,2,2,2,2,2,2,2,2,
23,0,0,0,5,5,5,5,3,
24,1,1,1,1,1,1,1,6,
25,1,1,1,1,1,1,1,6,
26,0,0,4,4,6,7,7,1,
27,1,1,1,1,1,1,1,6,
28,2,3,3,3,3,3,3,2,
29,1,1,1,5,5,5,1,6,
30,2,3,3,3,3,3,3,2,
31,2,3,3,3,3,3,3,2,
32,2,3,3,3,3,3,3,2,
33,2,3,3,3,3,3,3,2,
34,1,1,1,1,4,4,8,6,
35,0,0,0,5,6,6,6,3,
36,1,1,1,1,1,1,1,6,
37,1,1,1,1,1,1,1,6,
38,1,1,1,1,1,1,1,6,
39,1,1,1,1,1,1,8,6,
40,1,1,1,1,1,1,1,6,
41,1,1,1,1,1,1,1,6,
42,99,99,99,99,99,99,99,99,
43,0,0,0,0,0,4,8,3,
44,1,1,1,1,1,1,1,6,
45,1,1,4,4,1,7,7,6,
46,99,99,99,99,99,99,99,99,
47,1,1,1,1,4,4,4,6,
48,1,1,1,1,1,1,1,6,
49,1,1,1,1,1,1,1,6,
50,1,1,1,1,1,1,1,6,
51,1,1,1,1,1,1,1,6,
52,1,1,1,1,1,1,8,6,
53,1,1,1,1,1,1,1,6,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.1234401222330298,0.1258012339503446,0.12296769834683834,0.12411904045071054,0.12986090908561512,0.1290525755264201,0.12135263145480532,0.1450061816314729,
NMI,0.70184942758489899,0.73227251254414494,0.67538435848867895,0.72406570272495641,0.6985697208810322,0.70102114512039893,0.70074874356502348,1.0,
Silhoutte,0.21239841,0.22945415,0.22798546,0.24908929,0.25942144,0.29137326,0.30532089,0.26362487,
