,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,3,4,4,4,4,4,4,2,
1,0,3,4,5,5,7,6,9,0,
2,0,0,4,4,4,4,4,4,2,
3,2,2,2,2,6,6,0,2,1,
4,0,0,4,4,4,4,4,4,2,
5,2,2,2,2,2,2,2,2,1,
6,1,1,4,5,5,7,6,9,0,
7,1,3,4,5,5,7,6,9,0,
8,1,1,1,1,1,6,7,7,3,
9,2,2,2,2,6,6,8,8,1,
10,2,2,2,2,6,6,8,8,1,
11,2,2,2,2,6,6,8,8,1,
12,2,2,2,2,2,2,2,2,1,
13,2,2,2,2,2,2,8,8,1,
14,2,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,2,1,
16,2,2,2,2,2,2,2,2,1,
17,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,1,
23,1,3,3,3,3,3,3,3,4,
24,0,3,3,3,3,3,3,3,4,
25,2,2,2,2,0,0,8,8,1,
26,0,3,3,3,3,3,3,3,4,
27,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,3,
30,1,1,1,1,6,1,5,6,3,
31,0,0,0,0,6,7,6,6,1,
32,0,0,0,0,6,7,5,6,1,
33,2,2,2,2,2,2,2,2,1,
34,1,1,1,1,1,1,1,6,3,
35,1,1,4,4,4,4,4,4,2,
36,1,1,1,1,1,6,7,7,3,
37,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,3,
40,2,2,3,5,5,5,5,5,4,
41,2,3,3,5,5,5,5,5,4,
42,2,2,2,5,5,5,5,5,4,
43,1,3,3,3,3,3,3,3,4,
44,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,6,7,7,3,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,2,3,3,3,3,3,3,3,4,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.10696108247783676,0.12239598658839573,0.14522313309923562,0.1521492764004167,0.14125836234455597,0.12890540873113876,0.12580789954683694,0.12748971566967257,0.15562273676118443,
NMI,0.55901157840004123,0.70194801502827298,0.87773751723339988,0.89866898880596535,0.81181070113397147,0.76929801246318097,0.75535901180480125,0.79699489434440107,1.0,
Silhoutte,0.12551651,0.15661083,0.19408848,0.24740872,0.21166537,0.25761046,0.24103803,0.31771641,0.25898153,
