,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,2,2,5,5,5,5,0,
1,1,1,1,1,1,1,1,11,
2,1,2,2,5,5,7,7,0,
3,1,1,1,1,1,1,8,11,
4,1,3,2,5,5,5,5,0,
5,2,2,2,5,5,5,5,0,
6,0,3,3,3,3,3,3,13,
7,2,3,3,3,3,3,8,13,
8,2,3,3,3,3,3,1,11,
9,0,0,0,0,6,6,6,0,
10,2,2,4,4,4,4,4,0,
11,2,2,4,4,4,4,4,0,
12,2,2,4,4,4,4,4,0,
13,1,3,1,1,6,6,6,0,
14,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,1,
16,2,3,3,3,3,3,3,1,
17,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,7,7,1,
21,1,3,3,3,1,1,1,11,
22,99,99,99,99,99,99,99,99,
23,1,1,1,1,5,3,6,11,
24,1,1,1,1,1,1,1,11,
25,99,99,99,99,99,99,99,99,
26,0,3,3,3,3,3,3,13,
27,1,1,1,1,1,1,1,11,
28,1,1,1,1,1,1,1,11,
29,1,1,1,1,1,1,1,11,
30,1,1,1,1,6,7,7,0,
31,0,0,4,4,6,7,7,0,
32,1,1,1,1,6,1,1,0,
33,1,1,1,1,1,1,1,11,
34,99,99,99,99,99,99,99,99,
35,1,3,2,5,5,5,5,0,
36,99,99,99,99,99,99,99,99,
37,99,99,99,99,99,99,99,99,
38,2,3,3,5,3,3,3,11,
39,1,1,1,1,1,1,8,11,
40,1,1,1,1,1,1,1,11,
41,1,1,1,1,1,1,1,11,
42,99,99,99,99,99,99,99,99,
43,1,1,1,4,5,4,8,11,
44,1,1,1,1,5,3,8,11,
45,1,1,1,1,1,1,8,11,
46,99,99,99,99,99,99,99,99,
47,99,99,99,99,99,99,99,99,
48,99,99,99,99,99,99,99,99,
49,1,1,1,1,1,1,8,11,
50,99,99,99,99,99,99,99,99,
51,1,1,1,1,1,1,1,11,
52,2,2,4,4,4,4,4,0,
53,1,1,1,1,1,1,1,11,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.08784600903718934,0.10997492830729212,0.13900871382053176,0.12952352168329825,0.12264097380534097,0.11562182660639317,0.1186721493148078,0.15721343481091196,
NMI,0.38720120923953238,0.45904868027781981,0.53389688458454732,0.5523111054247517,0.66153124335961844,0.57212548068330815,0.56444120852086221,1.0,
Silhoutte,0.265673,0.27468878,0.34172675,0.38222032,0.35131925,0.37059966,0.37124761,0.34954365,
