,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,1,1,1,1,1,1,1,1,0
1,1,1,1,5,5,5,5,1,0
2,1,1,1,1,1,1,1,1,0
3,2,3,4,4,4,4,4,0,1
4,1,1,1,1,1,1,1,1,0
5,1,1,1,1,1,1,1,1,2
6,1,1,1,1,1,1,1,1,2
7,1,1,1,1,1,1,1,1,2
8,1,1,1,1,6,7,8,2,0
9,2,3,4,4,4,4,4,0,1
10,1,1,1,1,1,1,1,1,4
11,1,1,1,1,1,1,1,1,2
12,1,1,1,1,1,1,1,1,2
13,1,1,4,4,4,4,4,0,4
14,1,1,4,4,4,4,4,0,4
15,1,1,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,1,2
18,1,1,1,1,1,1,1,1,2
19,1,1,1,1,1,1,1,1,2
20,1,1,1,1,1,1,1,1,2
21,1,1,1,1,1,1,1,1,2
22,1,1,1,1,1,1,1,1,2
23,2,3,4,4,4,4,4,0,1
24,2,2,2,2,2,2,2,2,0
25,1,3,3,3,3,3,3,2,0
26,0,3,3,3,3,3,3,2,5
27,2,1,1,2,2,2,2,2,0
28,2,2,2,2,2,2,2,2,0
29,2,2,2,2,2,2,2,2,6
30,2,2,1,5,5,5,5,2,0
31,0,0,0,5,5,5,5,2,3
32,1,1,1,5,5,5,5,1,3
33,2,2,2,2,2,2,2,2,6
34,2,2,2,2,2,2,2,2,3
35,1,1,1,1,1,1,1,2,0
36,0,2,2,5,6,7,8,2,3
37,2,2,2,2,2,2,2,2,3
38,2,2,2,2,2,2,2,2,6
39,2,2,2,2,2,2,2,2,6
40,1,2,2,2,6,6,6,2,3
41,1,1,1,1,6,6,6,2,3
42,2,2,2,2,2,2,2,2,6
43,1,3,3,3,3,3,3,2,5
44,2,2,2,2,2,2,2,2,6
45,0,3,3,3,3,3,3,2,5
46,0,0,0,1,1,7,7,1,3
47,2,2,2,2,2,2,2,2,3
48,2,2,2,2,2,2,2,2,6
49,2,2,2,2,2,2,2,2,6
50,2,3,3,3,3,3,3,2,5
51,2,3,3,3,6,7,8,2,3
52,1,1,1,1,1,1,1,2,0
53,2,2,2,2,2,2,2,2,6
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
Modularity,0.0871757132366219,0.11439736896733252,0.11982072444321441,0.12060615179519514,0.12219177348927485,0.11884829639122958,0.11922790818040631,0.14088562080329534,0.06159379757472583
NMI,0.32683718992034827,0.42230425411384387,0.58493229396633473,0.58439325060965075,0.62213889328581395,0.5724216066774015,0.59856110369564242,1.0,0.47905527944693493
