,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,1,1,1,1,1,1,1,1,
1,1,1,1,5,5,5,5,1,
2,1,1,1,1,1,1,1,1,
3,2,3,4,4,4,4,4,0,
4,1,1,1,1,1,1,1,1,
5,1,1,1,1,1,1,1,1,
6,1,1,1,1,1,1,1,1,
7,1,1,1,1,1,1,1,1,
8,1,1,1,1,6,7,8,2,
9,2,3,4,4,4,4,4,0,
10,1,1,1,1,1,1,1,1,
11,1,1,1,1,1,1,1,1,
12,1,1,1,1,1,1,1,1,
13,1,1,4,4,4,4,4,0,
14,1,1,4,4,4,4,4,0,
15,1,1,1,1,1,1,1,1,
16,1,1,1,1,1,1,1,1,
17,1,1,1,1,1,1,1,1,
18,1,1,1,1,1,1,1,1,
19,1,1,1,1,1,1,1,1,
20,1,1,1,1,1,1,1,1,
21,1,1,1,1,1,1,1,1,
22,1,1,1,1,1,1,1,1,
23,2,3,4,4,4,4,4,0,
24,2,2,2,2,2,2,2,2,
25,1,3,3,3,3,3,3,2,
26,0,3,3,3,3,3,3,2,
27,2,1,1,2,2,2,2,2,
28,2,2,2,2,2,2,2,2,
29,2,2,2,2,2,2,2,2,
30,2,2,1,5,5,5,5,2,
31,0,0,0,5,5,5,5,2,
32,1,1,1,5,5,5,5,1,
33,2,2,2,2,2,2,2,2,
34,2,2,2,2,2,2,2,2,
35,1,1,1,1,1,1,1,2,
36,0,2,2,5,6,7,8,2,
37,2,2,2,2,2,2,2,2,
38,2,2,2,2,2,2,2,2,
39,2,2,2,2,2,2,2,2,
40,1,2,2,2,6,6,6,2,
41,1,1,1,1,6,6,6,2,
42,2,2,2,2,2,2,2,2,
43,1,3,3,3,3,3,3,2,
44,2,2,2,2,2,2,2,2,
45,0,3,3,3,3,3,3,2,
46,0,0,0,1,1,7,7,1,
47,2,2,2,2,2,2,2,2,
48,2,2,2,2,2,2,2,2,
49,2,2,2,2,2,2,2,2,
50,2,3,3,3,3,3,3,2,
51,2,3,3,3,6,7,8,2,
52,1,1,1,1,1,1,1,2,
53,2,2,2,2,2,2,2,2,
54,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,
Modularity,0.0871757132366219,0.11439736896733252,0.11982072444321441,0.12060615179519514,0.12219177348927485,0.11884829639122958,0.11922790818040631,0.14088562080329534,
NMI,0.32683718992034827,0.42230425411384387,0.58493229396633473,0.58439325060965075,0.62213889328581395,0.5724216066774015,0.59856110369564242,1.0,
Silhoutte,0.14399102,0.19295387,0.20482,0.20257681,0.22885342,0.26642132,0.27161572,0.21297294,
